Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Greece,0.0,0.0,0.0,0.0,01-22-2020,0
Greece,0.0,0.0,0.0,0.0,01-23-2020,0
Greece,0.0,0.0,0.0,0.0,01-24-2020,0
Greece,0.0,0.0,0.0,0.0,01-25-2020,0
Greece,0.0,0.0,0.0,0.0,01-26-2020,0
Greece,0.0,0.0,0.0,0.0,01-27-2020,0
Greece,0.0,0.0,0.0,0.0,01-28-2020,0
Greece,0.0,0.0,0.0,0.0,01-29-2020,0
Greece,0.0,0.0,0.0,0.0,01-30-2020,0
Greece,0.0,0.0,0.0,0.0,01-31-2020,0
Greece,0.0,0.0,0.0,0.0,02-01-2020,0
Greece,0.0,0.0,0.0,0.0,02-02-2020,0
Greece,0.0,0.0,0.0,0.0,02-03-2020,0
Greece,0.0,0.0,0.0,0.0,02-04-2020,0
Greece,0.0,0.0,0.0,0.0,02-05-2020,0
Greece,0.0,0.0,0.0,0.0,02-06-2020,0
Greece,0.0,0.0,0.0,0.0,02-07-2020,0
Greece,0.0,0.0,0.0,0.0,02-08-2020,0
Greece,0.0,0.0,0.0,0.0,02-09-2020,0
Greece,0.0,0.0,0.0,0.0,02-10-2020,0
Greece,0.0,0.0,0.0,0.0,02-11-2020,0
Greece,0.0,0.0,0.0,0.0,02-12-2020,0
Greece,0.0,0.0,0.0,0.0,02-13-2020,0
Greece,0.0,0.0,0.0,0.0,02-14-2020,0
Greece,0.0,0.0,0.0,0.0,02-15-2020,0
Greece,0.0,0.0,0.0,0.0,02-16-2020,0
Greece,0.0,0.0,0.0,0.0,02-17-2020,0
Greece,0.0,0.0,0.0,0.0,02-18-2020,0
Greece,0.0,0.0,0.0,0.0,02-19-2020,0
Greece,0.0,0.0,0.0,0.0,02-20-2020,0
Greece,0.0,0.0,0.0,0.0,02-21-2020,0
Greece,0.0,0.0,0.0,0.0,02-22-2020,0
Greece,0.0,0.0,0.0,0.0,02-23-2020,0
Greece,0.0,0.0,0.0,0.0,02-24-2020,0
Greece,0.0,0.0,0.0,0.0,02-25-2020,0
Greece,1.0,0.0,0.0,0.0,02-26-2020,1
Greece,3.0,0.0,0.0,0.0,02-27-2020,2
Greece,4.0,0.0,0.0,0.0,02-28-2020,1
Greece,4.0,0.0,0.0,0.0,02-29-2020,1
Greece,7.0,0.0,0.0,0.0,03-01-2020,3
Greece,7.0,0.0,0.0,0.0,03-02-2020,3
Greece,7.0,0.0,0.0,0.0,03-03-2020,3
Greece,9.0,0.0,0.0,0.0,03-04-2020,2
Greece,31.0,0.0,0.0,0.0,03-05-2020,22
Greece,45.0,0.0,0.0,0.0,03-06-2020,14
Greece,46.0,0.0,0.0,0.0,03-07-2020,1
Greece,73.0,0.0,0.0,0.0,03-08-2020,27
Greece,73.0,0.0,0.0,0.0,03-09-2020,27
Greece,89.0,0.0,0.0,0.0,03-10-2020,16
Greece,99.0,0.0,1.0,0.0,03-11-2020,10
Greece,99.0,0.0,1.0,0.0,03-12-2020,10
Greece,190.0,0.0,1.0,0.0,03-13-2020,91
Greece,228.0,8.0,3.0,0.0,03-14-2020,38
Greece,331.0,8.0,4.0,0.0,03-15-2020,103
Greece,331.0,8.0,4.0,0.0,03-16-2020,103
Greece,387.0,8.0,5.0,0.0,03-17-2020,56
Greece,418.0,8.0,5.0,0.0,03-18-2020,31
Greece,418.0,8.0,6.0,0.0,03-19-2020,31
Greece,495.0,19.0,6.0,0.0,03-20-2020,77
Greece,530.0,19.0,13.0,0.0,03-21-2020,35
Greece,624.0,19.0,15.0,590.0,03-22-2020,94
Greece,695.0,29.0,17.0,649.0,03-23-2020,71
Greece,743.0,29.0,20.0,694.0,03-24-2020,48
Greece,821.0,36.0,22.0,763.0,03-25-2020,78
Greece,892.0,36.0,26.0,830.0,03-26-2020,71
Greece,966.0,52.0,28.0,886.0,03-27-2020,74
Greece,1061.0,52.0,32.0,977.0,03-28-2020,95
Greece,1156.0,52.0,38.0,1066.0,03-29-2020,95
Greece,1212.0,52.0,43.0,1117.0,03-30-2020,56
Greece,1314.0,52.0,49.0,1213.0,03-31-2020,102
Greece,1415.0,52.0,50.0,1313.0,04-01-2020,101
Greece,1544.0,61.0,53.0,1430.0,04-02-2020,129
Greece,1613.0,78.0,63.0,1472.0,04-03-2020,69
Greece,1673.0,78.0,68.0,1527.0,04-04-2020,60
Greece,1735.0,78.0,73.0,1584.0,04-05-2020,62
Greece,1755.0,269.0,79.0,1407.0,04-06-2020,20
Greece,1832.0,269.0,81.0,1482.0,04-07-2020,77
Greece,1884.0,269.0,83.0,1532.0,04-08-2020,52
Greece,1955.0,269.0,87.0,1599.0,04-09-2020,71
Greece,2011.0,269.0,92.0,1650.0,04-10-2020,56
Greece,2081.0,269.0,93.0,1719.0,04-11-2020,70
Greece,2114.0,269.0,98.0,1747.0,04-12-2020,33
Greece,2145.0,269.0,99.0,1777.0,04-13-2020,31
Greece,2170.0,269.0,101.0,1800.0,04-14-2020,25
Greece,2192.0,269.0,102.0,1821.0,04-15-2020,22
