Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
India,0.0,0.0,0.0,0.0,01-22-2020,0
India,0.0,0.0,0.0,0.0,01-23-2020,0
India,0.0,0.0,0.0,0.0,01-24-2020,0
India,0.0,0.0,0.0,0.0,01-25-2020,0
India,0.0,0.0,0.0,0.0,01-26-2020,0
India,0.0,0.0,0.0,0.0,01-27-2020,0
India,0.0,0.0,0.0,0.0,01-28-2020,0
India,0.0,0.0,0.0,0.0,01-29-2020,0
India,1.0,0.0,0.0,0.0,01-30-2020,1
India,1.0,0.0,0.0,0.0,01-31-2020,1
India,1.0,0.0,0.0,0.0,02-01-2020,1
India,2.0,0.0,0.0,0.0,02-02-2020,1
India,3.0,0.0,0.0,0.0,02-03-2020,1
India,3.0,0.0,0.0,0.0,02-04-2020,1
India,3.0,0.0,0.0,0.0,02-05-2020,1
India,3.0,0.0,0.0,0.0,02-06-2020,1
India,3.0,0.0,0.0,0.0,02-07-2020,1
India,3.0,0.0,0.0,0.0,02-08-2020,1
India,3.0,0.0,0.0,0.0,02-09-2020,1
India,3.0,0.0,0.0,0.0,02-10-2020,1
India,3.0,0.0,0.0,0.0,02-11-2020,1
India,3.0,0.0,0.0,0.0,02-12-2020,1
India,3.0,0.0,0.0,0.0,02-13-2020,1
India,3.0,0.0,0.0,0.0,02-14-2020,1
India,3.0,0.0,0.0,0.0,02-15-2020,1
India,3.0,3.0,0.0,0.0,02-16-2020,1
India,3.0,3.0,0.0,0.0,02-17-2020,1
India,3.0,3.0,0.0,0.0,02-18-2020,1
India,3.0,3.0,0.0,0.0,02-19-2020,1
India,3.0,3.0,0.0,0.0,02-20-2020,1
India,3.0,3.0,0.0,0.0,02-21-2020,1
India,3.0,3.0,0.0,0.0,02-22-2020,1
India,3.0,3.0,0.0,0.0,02-23-2020,1
India,3.0,3.0,0.0,0.0,02-24-2020,1
India,3.0,3.0,0.0,0.0,02-25-2020,1
India,3.0,3.0,0.0,0.0,02-26-2020,1
India,3.0,3.0,0.0,0.0,02-27-2020,1
India,3.0,3.0,0.0,0.0,02-28-2020,1
India,3.0,3.0,0.0,0.0,02-29-2020,1
India,3.0,3.0,0.0,0.0,03-01-2020,1
India,5.0,3.0,0.0,0.0,03-02-2020,2
India,5.0,3.0,0.0,0.0,03-03-2020,2
India,28.0,3.0,0.0,0.0,03-04-2020,23
India,30.0,3.0,0.0,0.0,03-05-2020,2
India,31.0,3.0,0.0,0.0,03-06-2020,1
India,34.0,3.0,0.0,0.0,03-07-2020,3
India,39.0,3.0,0.0,0.0,03-08-2020,5
India,43.0,3.0,0.0,0.0,03-09-2020,4
India,56.0,4.0,0.0,0.0,03-10-2020,13
India,62.0,4.0,1.0,0.0,03-11-2020,6
India,73.0,4.0,1.0,0.0,03-12-2020,11
India,82.0,4.0,2.0,0.0,03-13-2020,9
India,102.0,4.0,2.0,0.0,03-14-2020,20
India,113.0,13.0,2.0,0.0,03-15-2020,11
India,119.0,13.0,2.0,0.0,03-16-2020,6
India,142.0,14.0,3.0,0.0,03-17-2020,23
India,156.0,14.0,3.0,0.0,03-18-2020,14
India,194.0,15.0,4.0,0.0,03-19-2020,38
India,244.0,20.0,5.0,0.0,03-20-2020,50
India,330.0,23.0,4.0,0.0,03-21-2020,86
India,396.0,24.0,7.0,365.0,03-22-2020,66
India,499.0,34.0,10.0,455.0,03-23-2020,103
India,536.0,40.0,10.0,486.0,03-24-2020,37
India,657.0,43.0,12.0,602.0,03-25-2020,121
India,727.0,45.0,20.0,662.0,03-26-2020,70
India,887.0,73.0,20.0,794.0,03-27-2020,160
India,987.0,84.0,24.0,879.0,03-28-2020,100
India,1024.0,95.0,27.0,902.0,03-29-2020,37
India,1251.0,102.0,32.0,1117.0,03-30-2020,227
India,1397.0,123.0,35.0,1239.0,03-31-2020,146
India,1998.0,148.0,58.0,1792.0,04-01-2020,601
India,2543.0,191.0,72.0,2280.0,04-02-2020,545
India,2567.0,192.0,72.0,2303.0,04-03-2020,24
India,3082.0,229.0,86.0,2767.0,04-04-2020,515
India,3588.0,229.0,99.0,3260.0,04-05-2020,506
India,4778.0,375.0,136.0,4267.0,04-06-2020,1190
India,5311.0,421.0,150.0,4740.0,04-07-2020,533
India,5916.0,506.0,178.0,5232.0,04-08-2020,605
India,6725.0,620.0,226.0,5879.0,04-09-2020,809
India,7598.0,774.0,246.0,6578.0,04-10-2020,873
India,8446.0,969.0,288.0,7189.0,04-11-2020,848
India,9205.0,1080.0,331.0,7794.0,04-12-2020,759
India,10453.0,1181.0,358.0,8914.0,04-13-2020,1248
India,11487.0,1359.0,393.0,9735.0,04-14-2020,1034
India,12322.0,1432.0,405.0,10485.0,04-15-2020,835
India,13430.0,1768.0,448.0,11214.0,04-16-2020,1108
India,14352.0,2041.0,486.0,11825.0,04-17-2020,922
India,15722.0,2463.0,521.0,12738.0,04-18-2020,1370
India,17615.0,2854.0,559.0,14202.0,04-19-2020,1893
India,18539.0,3273.0,592.0,14674.0,04-20-2020,924
India,20080.0,3975.0,645.0,15460.0,04-21-2020,1541
India,21370.0,4370.0,681.0,16319.0,04-22-2020,1290
India,23077.0,5012.0,721.0,17344.0,04-23-2020,1707
India,24530.0,5498.0,780.0,18252.0,04-24-2020,1453
India,26283.0,5939.0,825.0,19519.0,04-25-2020,1753
India,27890.0,6523.0,881.0,20486.0,04-26-2020,1607
