Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Israel,0.0,0.0,0.0,0.0,01-22-2020,0
Israel,0.0,0.0,0.0,0.0,01-23-2020,0
Israel,0.0,0.0,0.0,0.0,01-24-2020,0
Israel,0.0,0.0,0.0,0.0,01-25-2020,0
Israel,0.0,0.0,0.0,0.0,01-26-2020,0
Israel,0.0,0.0,0.0,0.0,01-27-2020,0
Israel,0.0,0.0,0.0,0.0,01-28-2020,0
Israel,0.0,0.0,0.0,0.0,01-29-2020,0
Israel,0.0,0.0,0.0,0.0,01-30-2020,0
Israel,0.0,0.0,0.0,0.0,01-31-2020,0
Israel,0.0,0.0,0.0,0.0,02-01-2020,0
Israel,0.0,0.0,0.0,0.0,02-02-2020,0
Israel,0.0,0.0,0.0,0.0,02-03-2020,0
Israel,0.0,0.0,0.0,0.0,02-04-2020,0
Israel,0.0,0.0,0.0,0.0,02-05-2020,0
Israel,0.0,0.0,0.0,0.0,02-06-2020,0
Israel,0.0,0.0,0.0,0.0,02-07-2020,0
Israel,0.0,0.0,0.0,0.0,02-08-2020,0
Israel,0.0,0.0,0.0,0.0,02-09-2020,0
Israel,0.0,0.0,0.0,0.0,02-10-2020,0
Israel,0.0,0.0,0.0,0.0,02-11-2020,0
Israel,0.0,0.0,0.0,0.0,02-12-2020,0
Israel,0.0,0.0,0.0,0.0,02-13-2020,0
Israel,0.0,0.0,0.0,0.0,02-14-2020,0
Israel,0.0,0.0,0.0,0.0,02-15-2020,0
Israel,0.0,0.0,0.0,0.0,02-16-2020,0
Israel,0.0,0.0,0.0,0.0,02-17-2020,0
Israel,0.0,0.0,0.0,0.0,02-18-2020,0
Israel,0.0,0.0,0.0,0.0,02-19-2020,0
Israel,0.0,0.0,0.0,0.0,02-20-2020,0
Israel,1.0,0.0,0.0,0.0,02-21-2020,1
Israel,1.0,0.0,0.0,0.0,02-22-2020,1
Israel,1.0,0.0,0.0,0.0,02-23-2020,1
Israel,1.0,0.0,0.0,0.0,02-24-2020,1
Israel,1.0,0.0,0.0,0.0,02-25-2020,1
Israel,2.0,0.0,0.0,0.0,02-26-2020,1
Israel,3.0,0.0,0.0,0.0,02-27-2020,1
Israel,6.0,0.0,0.0,0.0,02-28-2020,3
Israel,6.0,0.0,0.0,0.0,02-29-2020,3
Israel,7.0,0.0,0.0,0.0,03-01-2020,1
Israel,12.0,0.0,0.0,0.0,03-02-2020,5
Israel,15.0,0.0,0.0,0.0,03-03-2020,3
Israel,15.0,0.0,0.0,0.0,03-04-2020,3
Israel,17.0,0.0,0.0,0.0,03-05-2020,2
Israel,21.0,0.0,0.0,0.0,03-06-2020,4
Israel,25.0,0.0,0.0,0.0,03-07-2020,4
Israel,34.0,0.0,0.0,0.0,03-08-2020,9
Israel,38.0,0.0,0.0,0.0,03-09-2020,4
Israel,71.0,0.0,0.0,0.0,03-10-2020,33
Israel,90.0,0.0,0.0,0.0,03-11-2020,19
Israel,112.0,0.0,0.0,0.0,03-12-2020,22
Israel,147.0,1.0,0.0,0.0,03-13-2020,35
Israel,176.0,1.0,0.0,0.0,03-14-2020,29
Israel,215.0,1.0,0.0,0.0,03-15-2020,39
Israel,288.0,1.0,0.0,0.0,03-16-2020,73
Israel,382.0,3.0,0.0,0.0,03-17-2020,94
Israel,500.0,6.0,0.0,0.0,03-18-2020,118
Israel,636.0,11.0,0.0,0.0,03-19-2020,136
Israel,804.0,13.0,1.0,0.0,03-20-2020,168
Israel,1014.0,14.0,1.0,0.0,03-21-2020,210
Israel,1268.0,19.0,1.0,1033.0,03-22-2020,254
Israel,1620.0,26.0,1.0,1400.0,03-23-2020,352
Israel,2043.0,31.0,4.0,1874.0,03-24-2020,423
Israel,2468.0,37.0,5.0,2306.0,03-25-2020,425
Israel,2988.0,49.0,10.0,2617.0,03-26-2020,520
Israel,3421.0,69.0,12.0,2944.0,03-27-2020,433
Israel,3901.0,84.0,13.0,3518.0,03-28-2020,480
Israel,4433.0,105.0,16.0,4100.0,03-29-2020,532
Israel,4979.0,147.0,17.0,4518.0,03-30-2020,546
Israel,5717.0,210.0,21.0,5114.0,03-31-2020,738
Israel,6413.0,495.0,29.0,5825.0,04-01-2020,696
Israel,7132.0,597.0,38.0,6483.0,04-02-2020,719
Israel,7729.0,667.0,43.0,6985.0,04-03-2020,597
Israel,8157.0,717.0,49.0,7380.0,04-04-2020,428
Israel,8740.0,820.0,56.0,7904.0,04-05-2020,583
Israel,9191.0,939.0,64.0,8262.0,04-06-2020,451
Israel,9568.0,1059.0,72.0,8413.0,04-07-2020,377
Israel,9906.0,1191.0,80.0,8530.0,04-08-2020,338
