Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Italy,0.0,0.0,0.0,0.0,01-22-2020,0
Italy,0.0,0.0,0.0,0.0,01-23-2020,0
Italy,0.0,0.0,0.0,0.0,01-24-2020,0
Italy,0.0,0.0,0.0,0.0,01-25-2020,0
Italy,0.0,0.0,0.0,0.0,01-26-2020,0
Italy,0.0,0.0,0.0,0.0,01-27-2020,0
Italy,0.0,0.0,0.0,0.0,01-28-2020,0
Italy,0.0,0.0,0.0,0.0,01-29-2020,0
Italy,0.0,0.0,0.0,0.0,01-30-2020,0
Italy,2.0,0.0,0.0,0.0,01-31-2020,2
Italy,2.0,0.0,0.0,0.0,02-01-2020,2
Italy,2.0,0.0,0.0,0.0,02-02-2020,2
Italy,2.0,0.0,0.0,0.0,02-03-2020,2
Italy,2.0,0.0,0.0,0.0,02-04-2020,2
Italy,2.0,0.0,0.0,0.0,02-05-2020,2
Italy,2.0,0.0,0.0,0.0,02-06-2020,2
Italy,3.0,0.0,0.0,0.0,02-07-2020,1
Italy,3.0,0.0,0.0,0.0,02-08-2020,1
Italy,3.0,0.0,0.0,0.0,02-09-2020,1
Italy,3.0,0.0,0.0,0.0,02-10-2020,1
Italy,3.0,0.0,0.0,0.0,02-11-2020,1
Italy,3.0,0.0,0.0,0.0,02-12-2020,1
Italy,3.0,0.0,0.0,0.0,02-13-2020,1
Italy,3.0,0.0,0.0,0.0,02-14-2020,1
Italy,3.0,0.0,0.0,0.0,02-15-2020,1
Italy,3.0,0.0,0.0,0.0,02-16-2020,1
Italy,3.0,0.0,0.0,0.0,02-17-2020,1
Italy,3.0,0.0,0.0,0.0,02-18-2020,1
Italy,3.0,0.0,0.0,0.0,02-19-2020,1
Italy,3.0,0.0,0.0,0.0,02-20-2020,1
Italy,20.0,0.0,1.0,0.0,02-21-2020,17
Italy,62.0,1.0,2.0,0.0,02-22-2020,42
Italy,155.0,2.0,3.0,0.0,02-23-2020,93
Italy,229.0,1.0,7.0,0.0,02-24-2020,74
Italy,322.0,1.0,10.0,0.0,02-25-2020,93
Italy,453.0,3.0,12.0,0.0,02-26-2020,131
Italy,655.0,45.0,17.0,0.0,02-27-2020,202
Italy,888.0,46.0,21.0,0.0,02-28-2020,233
Italy,1128.0,46.0,29.0,0.0,02-29-2020,240
Italy,1694.0,83.0,34.0,0.0,03-01-2020,566
Italy,2036.0,149.0,52.0,0.0,03-02-2020,342
Italy,2502.0,160.0,79.0,0.0,03-03-2020,466
Italy,3089.0,276.0,107.0,0.0,03-04-2020,587
Italy,3858.0,414.0,148.0,0.0,03-05-2020,769
Italy,4636.0,523.0,197.0,0.0,03-06-2020,778
Italy,5883.0,589.0,233.0,0.0,03-07-2020,1247
Italy,7375.0,622.0,366.0,0.0,03-08-2020,1492
Italy,9172.0,724.0,463.0,0.0,03-09-2020,1797
Italy,10149.0,724.0,631.0,0.0,03-10-2020,977
Italy,12462.0,1045.0,827.0,0.0,03-11-2020,2313
Italy,12462.0,1045.0,827.0,0.0,03-12-2020,2313
Italy,17660.0,1439.0,1266.0,0.0,03-13-2020,5198
Italy,21157.0,1966.0,1441.0,0.0,03-14-2020,3497
Italy,24747.0,2335.0,1809.0,0.0,03-15-2020,3590
Italy,27980.0,2749.0,2158.0,0.0,03-16-2020,3233
Italy,31506.0,2941.0,2503.0,0.0,03-17-2020,3526
Italy,35713.0,4025.0,2978.0,0.0,03-18-2020,4207
Italy,41035.0,4440.0,3405.0,0.0,03-19-2020,5322
Italy,47021.0,4440.0,4032.0,0.0,03-20-2020,5986
Italy,53578.0,6072.0,4825.0,0.0,03-21-2020,6557
Italy,59138.0,7024.0,5476.0,46638.0,03-22-2020,5560
Italy,63927.0,7432.0,6077.0,50418.0,03-23-2020,4789
Italy,69176.0,8326.0,6820.0,54030.0,03-24-2020,5249
Italy,74386.0,9362.0,7503.0,57521.0,03-25-2020,5210
Italy,80589.0,10361.0,8215.0,62013.0,03-26-2020,6203
Italy,86498.0,10950.0,9134.0,66414.0,03-27-2020,5909
Italy,92472.0,12384.0,10023.0,70065.0,03-28-2020,5974
Italy,97689.0,13030.0,10779.0,73880.0,03-29-2020,5217
Italy,101739.0,14620.0,11591.0,75528.0,03-30-2020,4050
Italy,105792.0,15729.0,12428.0,77635.0,03-31-2020,4053
Italy,110574.0,16847.0,13155.0,80572.0,04-01-2020,4782
Italy,115242.0,18278.0,13915.0,83049.0,04-02-2020,4668
Italy,119827.0,19758.0,14681.0,85388.0,04-03-2020,4585
Italy,124632.0,20996.0,15362.0,88274.0,04-04-2020,4805
Italy,128948.0,21815.0,15887.0,91246.0,04-05-2020,4316
Italy,132547.0,22837.0,16523.0,93187.0,04-06-2020,3599
Italy,135586.0,24392.0,17127.0,94067.0,04-07-2020,3039
Italy,139422.0,26491.0,17669.0,95262.0,04-08-2020,3836
Italy,143626.0,28470.0,18279.0,96877.0,04-09-2020,4204
Italy,147577.0,30455.0,18849.0,98273.0,04-10-2020,3951
Italy,152271.0,32534.0,19468.0,100269.0,04-11-2020,4694
Italy,156363.0,34211.0,19899.0,102253.0,04-12-2020,4092
Italy,159516.0,35435.0,20465.0,103616.0,04-13-2020,3153
Italy,162488.0,37130.0,21067.0,104291.0,04-14-2020,2972
Italy,165155.0,38092.0,21645.0,105418.0,04-15-2020,2667
Italy,168941.0,40164.0,22170.0,106607.0,04-16-2020,3786
Italy,172434.0,42727.0,22745.0,106962.0,04-17-2020,3493
Italy,175925.0,44927.0,23227.0,107771.0,04-18-2020,3491
Italy,178972.0,47055.0,23660.0,108257.0,04-19-2020,3047
Italy,181228.0,48877.0,24114.0,108237.0,04-20-2020,2256
Italy,183957.0,51600.0,24648.0,107709.0,04-21-2020,2729
Italy,187327.0,54543.0,25085.0,107699.0,04-22-2020,3370
Italy,189973.0,57576.0,25549.0,106848.0,04-23-2020,2646
Italy,192994.0,60498.0,25969.0,106527.0,04-24-2020,3021
Italy,195351.0,63120.0,26384.0,105847.0,04-25-2020,2357
Italy,197675.0,64928.0,26644.0,106103.0,04-26-2020,2324
Italy,199414.0,66624.0,26977.0,105813.0,04-27-2020,1739
Italy,201505.0,68941.0,27359.0,105205.0,04-28-2020,2091
Italy,203591.0,71252.0,27682.0,104657.0,04-29-2020,2086
Italy,205463.0,75945.0,27967.0,101551.0,04-30-2020,1872
Italy,207428.0,78249.0,28236.0,100943.0,05-01-2020,1965
Italy,209328.0,79914.0,28710.0,100704.0,05-02-2020,1900
Italy,210717.0,81654.0,28884.0,100179.0,05-03-2020,1389
Italy,211938.0,82879.0,29079.0,99980.0,05-04-2020,1221
Italy,213013.0,85231.0,29315.0,98467.0,05-05-2020,1075
Italy,214457.0,93245.0,29684.0,91528.0,05-06-2020,1444
