Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Japan,2.0,0.0,0.0,0.0,01-22-2020,0.0
Japan,1.0,0.0,0.0,0.0,01-23-2020,1.0
Japan,2.0,0.0,0.0,0.0,01-24-2020,1.0
Japan,2.0,0.0,0.0,0.0,01-25-2020,1.0
Japan,4.0,1.0,0.0,0.0,01-26-2020,2.0
Japan,4.0,1.0,0.0,0.0,01-27-2020,2.0
Japan,7.0,1.0,0.0,0.0,01-28-2020,3.0
Japan,7.0,1.0,0.0,0.0,01-29-2020,3.0
Japan,11.0,1.0,0.0,0.0,01-30-2020,4.0
Japan,15.0,1.0,0.0,0.0,01-31-2020,4.0
Japan,20.0,1.0,0.0,0.0,02-01-2020,5.0
Japan,20.0,1.0,0.0,0.0,02-02-2020,5.0
Japan,20.0,1.0,0.0,0.0,02-03-2020,5.0
Japan,22.0,1.0,0.0,0.0,02-04-2020,2.0
Japan,22.0,1.0,0.0,0.0,02-05-2020,2.0
Japan,45.0,1.0,0.0,0.0,02-06-2020,23.0
Japan,25.0,1.0,0.0,0.0,02-07-2020,20.0
Japan,25.0,1.0,0.0,0.0,02-08-2020,20.0
Japan,26.0,1.0,0.0,0.0,02-09-2020,1.0
Japan,26.0,4.0,0.0,0.0,02-10-2020,1.0
Japan,26.0,9.0,0.0,0.0,02-11-2020,1.0
Japan,28.0,9.0,0.0,0.0,02-12-2020,2.0
Japan,28.0,9.0,1.0,0.0,02-13-2020,2.0
Japan,29.0,9.0,1.0,0.0,02-14-2020,1.0
Japan,43.0,12.0,1.0,0.0,02-15-2020,14.0
Japan,59.0,12.0,1.0,0.0,02-16-2020,16.0
Japan,66.0,12.0,1.0,0.0,02-17-2020,7.0
Japan,74.0,13.0,1.0,0.0,02-18-2020,8.0
Japan,84.0,18.0,1.0,0.0,02-19-2020,10.0
Japan,94.0,18.0,1.0,0.0,02-20-2020,10.0
Japan,105.0,22.0,1.0,0.0,02-21-2020,11.0
Japan,122.0,22.0,1.0,0.0,02-22-2020,17.0
Japan,147.0,22.0,1.0,0.0,02-23-2020,25.0
Japan,159.0,22.0,1.0,0.0,02-24-2020,12.0
Japan,170.0,22.0,1.0,0.0,02-25-2020,11.0
Japan,189.0,22.0,2.0,0.0,02-26-2020,19.0
Japan,214.0,22.0,4.0,0.0,02-27-2020,25.0
Japan,228.0,22.0,4.0,0.0,02-28-2020,14.0
Japan,241.0,32.0,5.0,0.0,02-29-2020,13.0
Japan,256.0,32.0,6.0,0.0,03-01-2020,15.0
Japan,274.0,32.0,6.0,0.0,03-02-2020,18.0
Japan,293.0,43.0,6.0,0.0,03-03-2020,19.0
Japan,331.0,43.0,6.0,0.0,03-04-2020,38.0
Japan,360.0,43.0,6.0,0.0,03-05-2020,29.0
Japan,420.0,46.0,6.0,0.0,03-06-2020,60.0
Japan,461.0,76.0,6.0,0.0,03-07-2020,41.0
Japan,502.0,76.0,6.0,0.0,03-08-2020,41.0
Japan,511.0,76.0,17.0,0.0,03-09-2020,9.0
Japan,581.0,101.0,10.0,0.0,03-10-2020,70.0
Japan,639.0,118.0,15.0,0.0,03-11-2020,58.0
Japan,639.0,118.0,16.0,0.0,03-12-2020,58.0
Japan,701.0,118.0,19.0,0.0,03-13-2020,62.0
Japan,773.0,118.0,22.0,0.0,03-14-2020,72.0
Japan,839.0,118.0,22.0,0.0,03-15-2020,66.0
Japan,825.0,144.0,27.0,0.0,03-16-2020,14.0
Japan,878.0,144.0,29.0,0.0,03-17-2020,53.0
Japan,889.0,144.0,29.0,0.0,03-18-2020,11.0
Japan,924.0,150.0,29.0,0.0,03-19-2020,35.0
Japan,963.0,191.0,33.0,0.0,03-20-2020,39.0
Japan,1007.0,232.0,35.0,0.0,03-21-2020,44.0
Japan,1086.0,235.0,36.0,815.0,03-22-2020,79.0
Japan,1128.0,235.0,42.0,851.0,03-23-2020,42.0
Japan,1193.0,285.0,43.0,865.0,03-24-2020,65.0
Japan,1307.0,310.0,45.0,952.0,03-25-2020,114.0
Japan,1387.0,359.0,47.0,981.0,03-26-2020,80.0
Japan,1468.0,372.0,49.0,1047.0,03-27-2020,81.0
Japan,1693.0,404.0,52.0,1237.0,03-28-2020,225.0
Japan,1866.0,424.0,54.0,1388.0,03-29-2020,173.0
Japan,1866.0,424.0,54.0,1388.0,03-30-2020,173.0
Japan,1953.0,424.0,56.0,1473.0,03-31-2020,87.0
Japan,2178.0,472.0,57.0,1649.0,04-01-2020,225.0
Japan,2495.0,472.0,62.0,1961.0,04-02-2020,317.0
Japan,2617.0,514.0,63.0,2040.0,04-03-2020,122.0
Japan,3139.0,514.0,77.0,2548.0,04-04-2020,522.0
Japan,3139.0,514.0,77.0,2548.0,04-05-2020,522.0
Japan,3654.0,575.0,85.0,2994.0,04-06-2020,515.0
Japan,3906.0,592.0,92.0,3222.0,04-07-2020,252.0
Japan,4257.0,622.0,93.0,3542.0,04-08-2020,351.0
Japan,4667.0,632.0,94.0,3941.0,04-09-2020,410.0
Japan,5530.0,685.0,99.0,4746.0,04-10-2020,863.0
Japan,6005.0,762.0,99.0,5144.0,04-11-2020,475.0
Japan,6748.0,762.0,108.0,5878.0,04-12-2020,743.0
Japan,7370.0,784.0,123.0,6463.0,04-13-2020,622.0
Japan,7645.0,799.0,143.0,6703.0,04-14-2020,275.0
Japan,8100.0,853.0,146.0,7101.0,04-15-2020,455.0
Japan,8626.0,901.0,178.0,7547.0,04-16-2020,526.0
Japan,9787.0,935.0,190.0,8662.0,04-17-2020,1161.0
Japan,10296.0,1069.0,222.0,9005.0,04-18-2020,509.0
Japan,10797.0,1159.0,236.0,9402.0,04-19-2020,501.0
Japan,10797.0,1159.0,236.0,9402.0,04-20-2020,501.0
Japan,11135.0,1239.0,263.0,9633.0,04-21-2020,338.0
Japan,11512.0,1356.0,281.0,9875.0,04-22-2020,377.0
Japan,12368.0,1494.0,328.0,10546.0,04-23-2020,856.0
Japan,12829.0,1530.0,345.0,10954.0,04-24-2020,461.0
Japan,13231.0,1656.0,360.0,11215.0,04-25-2020,402.0
Japan,13441.0,1809.0,372.0,11260.0,04-26-2020,210.0
Japan,14153.0,1899.0,385.0,11869.0,04-27-2020,712.0
Japan,13736.0,1899.0,394.0,11443.0,04-28-2020,417.0
Japan,13895.0,2368.0,413.0,11114.0,04-29-2020,159.0
Japan,14088.0,2460.0,430.0,11198.0,04-30-2020,193.0
Japan,14305.0,2975.0,455.0,10875.0,05-01-2020,217.0
Japan,14571.0,3205.0,474.0,10892.0,05-02-2020,266.0
Japan,14877.0,3981.0,487.0,10409.0,05-03-2020,306.0
Japan,15078.0,4156.0,536.0,10386.0,05-04-2020,201.0
Japan,15253.0,4496.0,556.0,10201.0,05-05-2020,175.0
Japan,15253.0,4496.0,556.0,10201.0,05-06-2020,175.0
Japan,15477.0,4918.0,577.0,9982.0,05-07-2020,224.0
Japan,15575.0,5146.0,590.0,9839.0,05-08-2020,98.0
Japan,15663.0,5906.0,607.0,9150.0,05-09-2020,88.0
Japan,15777.0,8127.0,624.0,7026.0,05-10-2020,114.0
Japan,15847.0,8293.0,633.0,6921.0,05-11-2020,70.0
Japan,15968.0,8531.0,657.0,6780.0,05-12-2020,121.0
Japan,16049.0,8920.0,678.0,6451.0,05-13-2020,81.0
Japan,16120.0,9868.0,697.0,5555.0,05-14-2020,71.0
Japan,16203.0,10338.0,713.0,5152.0,05-15-2020,83.0
Japan,16237.0,10338.0,725.0,5174.0,05-16-2020,34.0
Japan,16285.0,11153.0,744.0,4388.0,05-17-2020,48.0
Japan,16305.0,11564.0,749.0,3992.0,05-18-2020,20.0
Japan,16367.0,11564.0,768.0,4035.0,05-19-2020,62.0
Japan,16367.0,11564.0,768.0,4035.0,05-20-2020,62.0
Japan,16424.0,12672.0,777.0,2975.0,05-21-2020,57.0
Japan,16513.0,13005.0,796.0,2712.0,05-22-2020,89.0
Japan,16536.0,13244.0,808.0,2484.0,05-23-2020,23.0
Japan,16550.0,13413.0,820.0,2317.0,05-24-2020,14.0
Japan,16581.0,13612.0,830.0,2139.0,05-25-2020,31.0
Japan,16623.0,13810.0,846.0,1967.0,05-26-2020,42.0
Japan,16651.0,13973.0,858.0,1820.0,05-27-2020,28.0
Japan,16598.0,14096.0,881.0,1621.0,05-28-2020,53.0
Japan,16673.0,14213.0,887.0,1573.0,05-29-2020,75.0
Japan,16716.0,14267.0,894.0,1555.0,05-30-2020,43.0
Japan,16751.0,14342.0,898.0,1511.0,05-31-2020,35.0
Japan,16787.0,14463.0,899.0,1425.0,06-01-2020,36.0
Japan,16837.0,14585.0,902.0,1350.0,06-02-2020,50.0
Japan,16867.0,14702.0,905.0,1260.0,06-03-2020,30.0
Japan,16911.0,14785.0,911.0,1215.0,06-04-2020,44.0
Japan,16958.0,14925.0,916.0,1117.0,06-05-2020,47.0
Japan,17000.0,14927.0,915.0,1158.0,06-06-2020,42.0
Japan,17039.0,14990.0,917.0,1132.0,06-07-2020,39.0
Japan,17060.0,15043.0,920.0,1097.0,06-08-2020,21.0
