Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Kazakhstan,0.0,0.0,0.0,0.0,01-22-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,01-23-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,01-24-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,01-25-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,01-26-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,01-27-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,01-28-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,01-29-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,01-30-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,01-31-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-01-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-02-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-03-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-04-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-05-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-06-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-07-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-08-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-09-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-10-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-11-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-12-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-13-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-14-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-15-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-16-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-17-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-18-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-19-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-20-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-21-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-22-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-23-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-24-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-25-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-26-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-27-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-28-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,02-29-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,03-01-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,03-02-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,03-03-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,03-04-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,03-05-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,03-06-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,03-07-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,03-08-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,03-09-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,03-10-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,03-11-2020,0
Kazakhstan,0.0,0.0,0.0,0.0,03-12-2020,0
Kazakhstan,4.0,0.0,0.0,0.0,03-13-2020,4
Kazakhstan,6.0,0.0,0.0,0.0,03-14-2020,2
Kazakhstan,9.0,0.0,0.0,0.0,03-15-2020,3
Kazakhstan,10.0,0.0,0.0,0.0,03-16-2020,1
Kazakhstan,33.0,0.0,0.0,0.0,03-17-2020,23
Kazakhstan,35.0,0.0,0.0,0.0,03-18-2020,2
Kazakhstan,44.0,0.0,0.0,0.0,03-19-2020,9
Kazakhstan,49.0,0.0,0.0,0.0,03-20-2020,5
Kazakhstan,53.0,0.0,0.0,0.0,03-21-2020,4
Kazakhstan,60.0,0.0,0.0,59.0,03-22-2020,7
Kazakhstan,62.0,0.0,0.0,62.0,03-23-2020,2
Kazakhstan,72.0,0.0,0.0,72.0,03-24-2020,10
Kazakhstan,81.0,0.0,0.0,81.0,03-25-2020,9
Kazakhstan,111.0,2.0,1.0,108.0,03-26-2020,30
Kazakhstan,150.0,3.0,1.0,146.0,03-27-2020,39
Kazakhstan,228.0,16.0,1.0,211.0,03-28-2020,78
Kazakhstan,284.0,20.0,1.0,263.0,03-29-2020,56
Kazakhstan,302.0,21.0,1.0,280.0,03-30-2020,18
Kazakhstan,343.0,24.0,2.0,317.0,03-31-2020,41
Kazakhstan,380.0,26.0,3.0,351.0,04-01-2020,37
Kazakhstan,435.0,27.0,3.0,405.0,04-02-2020,55
Kazakhstan,464.0,29.0,6.0,429.0,04-03-2020,29
