Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Latvia,0.0,0.0,0.0,0.0,01-22-2020,0
Latvia,0.0,0.0,0.0,0.0,01-23-2020,0
Latvia,0.0,0.0,0.0,0.0,01-24-2020,0
Latvia,0.0,0.0,0.0,0.0,01-25-2020,0
Latvia,0.0,0.0,0.0,0.0,01-26-2020,0
Latvia,0.0,0.0,0.0,0.0,01-27-2020,0
Latvia,0.0,0.0,0.0,0.0,01-28-2020,0
Latvia,0.0,0.0,0.0,0.0,01-29-2020,0
Latvia,0.0,0.0,0.0,0.0,01-30-2020,0
Latvia,0.0,0.0,0.0,0.0,01-31-2020,0
Latvia,0.0,0.0,0.0,0.0,02-01-2020,0
Latvia,0.0,0.0,0.0,0.0,02-02-2020,0
Latvia,0.0,0.0,0.0,0.0,02-03-2020,0
Latvia,0.0,0.0,0.0,0.0,02-04-2020,0
Latvia,0.0,0.0,0.0,0.0,02-05-2020,0
Latvia,0.0,0.0,0.0,0.0,02-06-2020,0
Latvia,0.0,0.0,0.0,0.0,02-07-2020,0
Latvia,0.0,0.0,0.0,0.0,02-08-2020,0
Latvia,0.0,0.0,0.0,0.0,02-09-2020,0
Latvia,0.0,0.0,0.0,0.0,02-10-2020,0
Latvia,0.0,0.0,0.0,0.0,02-11-2020,0
Latvia,0.0,0.0,0.0,0.0,02-12-2020,0
Latvia,0.0,0.0,0.0,0.0,02-13-2020,0
Latvia,0.0,0.0,0.0,0.0,02-14-2020,0
Latvia,0.0,0.0,0.0,0.0,02-15-2020,0
Latvia,0.0,0.0,0.0,0.0,02-16-2020,0
Latvia,0.0,0.0,0.0,0.0,02-17-2020,0
Latvia,0.0,0.0,0.0,0.0,02-18-2020,0
Latvia,0.0,0.0,0.0,0.0,02-19-2020,0
Latvia,0.0,0.0,0.0,0.0,02-20-2020,0
Latvia,0.0,0.0,0.0,0.0,02-21-2020,0
Latvia,0.0,0.0,0.0,0.0,02-22-2020,0
Latvia,0.0,0.0,0.0,0.0,02-23-2020,0
Latvia,0.0,0.0,0.0,0.0,02-24-2020,0
Latvia,0.0,0.0,0.0,0.0,02-25-2020,0
Latvia,0.0,0.0,0.0,0.0,02-26-2020,0
Latvia,0.0,0.0,0.0,0.0,02-27-2020,0
Latvia,0.0,0.0,0.0,0.0,02-28-2020,0
Latvia,0.0,0.0,0.0,0.0,02-29-2020,0
Latvia,0.0,0.0,0.0,0.0,03-01-2020,0
Latvia,1.0,0.0,0.0,0.0,03-02-2020,1
Latvia,1.0,0.0,0.0,0.0,03-03-2020,1
Latvia,1.0,0.0,0.0,0.0,03-04-2020,1
Latvia,1.0,0.0,0.0,0.0,03-05-2020,1
Latvia,1.0,0.0,0.0,0.0,03-06-2020,1
Latvia,1.0,0.0,0.0,0.0,03-07-2020,1
Latvia,2.0,0.0,0.0,0.0,03-08-2020,1
Latvia,6.0,0.0,0.0,0.0,03-09-2020,4
Latvia,8.0,1.0,0.0,0.0,03-10-2020,2
Latvia,10.0,1.0,0.0,0.0,03-11-2020,2
Latvia,10.0,1.0,0.0,0.0,03-12-2020,2
Latvia,17.0,1.0,0.0,0.0,03-13-2020,7
Latvia,26.0,1.0,0.0,0.0,03-14-2020,9
Latvia,30.0,1.0,0.0,0.0,03-15-2020,4
Latvia,34.0,1.0,0.0,0.0,03-16-2020,4
Latvia,49.0,1.0,0.0,0.0,03-17-2020,15
Latvia,71.0,1.0,0.0,0.0,03-18-2020,22
Latvia,86.0,1.0,0.0,0.0,03-19-2020,15
Latvia,111.0,1.0,0.0,0.0,03-20-2020,25
Latvia,124.0,1.0,0.0,0.0,03-21-2020,13
Latvia,139.0,1.0,0.0,138.0,03-22-2020,15
Latvia,180.0,1.0,0.0,179.0,03-23-2020,41
Latvia,197.0,1.0,0.0,196.0,03-24-2020,17
Latvia,221.0,1.0,0.0,220.0,03-25-2020,24
Latvia,244.0,1.0,0.0,243.0,03-26-2020,23
Latvia,280.0,1.0,0.0,279.0,03-27-2020,36
Latvia,305.0,1.0,0.0,304.0,03-28-2020,25
Latvia,347.0,1.0,0.0,346.0,03-29-2020,42
Latvia,376.0,1.0,0.0,375.0,03-30-2020,29
Latvia,398.0,1.0,0.0,397.0,03-31-2020,22
Latvia,446.0,1.0,0.0,445.0,04-01-2020,48
Latvia,458.0,31.0,0.0,427.0,04-02-2020,12
Latvia,493.0,1.0,1.0,491.0,04-03-2020,35
Latvia,509.0,1.0,1.0,507.0,04-04-2020,16
Latvia,533.0,1.0,1.0,531.0,04-05-2020,24
Latvia,542.0,16.0,1.0,525.0,04-06-2020,9
Latvia,548.0,16.0,2.0,530.0,04-07-2020,6
Latvia,577.0,16.0,2.0,559.0,04-08-2020,29
Latvia,589.0,16.0,3.0,570.0,04-09-2020,12
Latvia,612.0,16.0,3.0,593.0,04-10-2020,23
Latvia,630.0,16.0,3.0,611.0,04-11-2020,18
