Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Norway,0.0,0.0,0.0,0.0,01-22-2020,0
Norway,0.0,0.0,0.0,0.0,01-23-2020,0
Norway,0.0,0.0,0.0,0.0,01-24-2020,0
Norway,0.0,0.0,0.0,0.0,01-25-2020,0
Norway,0.0,0.0,0.0,0.0,01-26-2020,0
Norway,0.0,0.0,0.0,0.0,01-27-2020,0
Norway,0.0,0.0,0.0,0.0,01-28-2020,0
Norway,0.0,0.0,0.0,0.0,01-29-2020,0
Norway,0.0,0.0,0.0,0.0,01-30-2020,0
Norway,0.0,0.0,0.0,0.0,01-31-2020,0
Norway,0.0,0.0,0.0,0.0,02-01-2020,0
Norway,0.0,0.0,0.0,0.0,02-02-2020,0
Norway,0.0,0.0,0.0,0.0,02-03-2020,0
Norway,0.0,0.0,0.0,0.0,02-04-2020,0
Norway,0.0,0.0,0.0,0.0,02-05-2020,0
Norway,0.0,0.0,0.0,0.0,02-06-2020,0
Norway,0.0,0.0,0.0,0.0,02-07-2020,0
Norway,0.0,0.0,0.0,0.0,02-08-2020,0
Norway,0.0,0.0,0.0,0.0,02-09-2020,0
Norway,0.0,0.0,0.0,0.0,02-10-2020,0
Norway,0.0,0.0,0.0,0.0,02-11-2020,0
Norway,0.0,0.0,0.0,0.0,02-12-2020,0
Norway,0.0,0.0,0.0,0.0,02-13-2020,0
Norway,0.0,0.0,0.0,0.0,02-14-2020,0
Norway,0.0,0.0,0.0,0.0,02-15-2020,0
Norway,0.0,0.0,0.0,0.0,02-16-2020,0
Norway,0.0,0.0,0.0,0.0,02-17-2020,0
Norway,0.0,0.0,0.0,0.0,02-18-2020,0
Norway,0.0,0.0,0.0,0.0,02-19-2020,0
Norway,0.0,0.0,0.0,0.0,02-20-2020,0
Norway,0.0,0.0,0.0,0.0,02-21-2020,0
Norway,0.0,0.0,0.0,0.0,02-22-2020,0
Norway,0.0,0.0,0.0,0.0,02-23-2020,0
Norway,0.0,0.0,0.0,0.0,02-24-2020,0
Norway,0.0,0.0,0.0,0.0,02-25-2020,0
Norway,1.0,0.0,0.0,0.0,02-26-2020,1
Norway,1.0,0.0,0.0,0.0,02-27-2020,1
Norway,6.0,0.0,0.0,0.0,02-28-2020,5
Norway,15.0,0.0,0.0,0.0,02-29-2020,9
Norway,19.0,0.0,0.0,0.0,03-01-2020,4
Norway,25.0,0.0,0.0,0.0,03-02-2020,6
Norway,32.0,0.0,0.0,0.0,03-03-2020,7
Norway,56.0,0.0,0.0,0.0,03-04-2020,24
Norway,87.0,0.0,0.0,0.0,03-05-2020,31
Norway,108.0,0.0,0.0,0.0,03-06-2020,21
Norway,147.0,0.0,0.0,0.0,03-07-2020,39
Norway,176.0,0.0,0.0,0.0,03-08-2020,29
Norway,205.0,1.0,0.0,0.0,03-09-2020,29
Norway,400.0,1.0,0.0,0.0,03-10-2020,195
Norway,598.0,1.0,0.0,0.0,03-11-2020,198
Norway,702.0,1.0,0.0,0.0,03-12-2020,104
Norway,996.0,1.0,0.0,0.0,03-13-2020,294
Norway,1090.0,1.0,3.0,0.0,03-14-2020,94
Norway,1221.0,1.0,3.0,0.0,03-15-2020,131
Norway,1333.0,1.0,3.0,0.0,03-16-2020,112
Norway,1463.0,1.0,3.0,0.0,03-17-2020,130
Norway,1550.0,1.0,6.0,0.0,03-18-2020,87
Norway,1746.0,1.0,7.0,0.0,03-19-2020,196
Norway,1914.0,1.0,7.0,0.0,03-20-2020,168
Norway,2118.0,1.0,7.0,0.0,03-21-2020,204
Norway,2263.0,6.0,7.0,2250.0,03-22-2020,145
Norway,2621.0,6.0,10.0,2605.0,03-23-2020,358
Norway,2863.0,6.0,12.0,2845.0,03-24-2020,242
Norway,3084.0,6.0,14.0,3064.0,03-25-2020,221
Norway,3369.0,6.0,14.0,3349.0,03-26-2020,285
Norway,3755.0,6.0,19.0,3730.0,03-27-2020,386
Norway,4015.0,7.0,23.0,3985.0,03-28-2020,260
Norway,4284.0,7.0,25.0,4252.0,03-29-2020,269
Norway,4445.0,12.0,32.0,4401.0,03-30-2020,161
Norway,4641.0,13.0,39.0,4589.0,03-31-2020,196
Norway,4863.0,13.0,44.0,4806.0,04-01-2020,222
Norway,5147.0,32.0,50.0,5065.0,04-02-2020,284
Norway,5370.0,32.0,59.0,5279.0,04-03-2020,223
Norway,5550.0,32.0,62.0,5456.0,04-04-2020,180
Norway,5687.0,32.0,71.0,5584.0,04-05-2020,137
Norway,5865.0,32.0,76.0,5757.0,04-06-2020,178
Norway,6086.0,32.0,89.0,5965.0,04-07-2020,221
Norway,6086.0,32.0,101.0,5953.0,04-08-2020,221
Norway,6211.0,32.0,108.0,6071.0,04-09-2020,125
Norway,6314.0,32.0,113.0,6169.0,04-10-2020,103
Norway,6409.0,32.0,119.0,6258.0,04-11-2020,95
Norway,6525.0,32.0,128.0,6365.0,04-12-2020,116
Norway,6603.0,32.0,134.0,6437.0,04-13-2020,78
Norway,6623.0,32.0,139.0,6452.0,04-14-2020,20
Norway,6740.0,32.0,150.0,6558.0,04-15-2020,117
Norway,6896.0,32.0,152.0,6712.0,04-16-2020,156
Norway,6937.0,32.0,161.0,6744.0,04-17-2020,41
Norway,7036.0,32.0,164.0,6840.0,04-18-2020,99
Norway,7078.0,32.0,165.0,6881.0,04-19-2020,42
Norway,7156.0,32.0,181.0,6943.0,04-20-2020,78
Norway,7191.0,32.0,182.0,6977.0,04-21-2020,35
Norway,7338.0,32.0,187.0,7119.0,04-22-2020,147
Norway,7401.0,32.0,194.0,7175.0,04-23-2020,63
Norway,7463.0,32.0,199.0,7232.0,04-24-2020,62
Norway,7499.0,32.0,201.0,7266.0,04-25-2020,36
Norway,7527.0,32.0,201.0,7294.0,04-26-2020,28
Norway,7599.0,32.0,205.0,7362.0,04-27-2020,72
Norway,7660.0,32.0,206.0,7422.0,04-28-2020,61
Norway,7710.0,32.0,207.0,7471.0,04-29-2020,50
Norway,7738.0,32.0,210.0,7496.0,04-30-2020,28
Norway,7783.0,32.0,210.0,7541.0,05-01-2020,45
Norway,7809.0,32.0,211.0,7566.0,05-02-2020,26
Norway,7847.0,32.0,211.0,7604.0,05-03-2020,38
Norway,7904.0,32.0,214.0,7658.0,05-04-2020,57
Norway,7955.0,32.0,215.0,7708.0,05-05-2020,51
Norway,7996.0,32.0,216.0,7748.0,05-06-2020,41
Norway,8034.0,32.0,217.0,7785.0,05-07-2020,38
Norway,8070.0,32.0,218.0,7820.0,05-08-2020,36
Norway,8099.0,32.0,219.0,7848.0,05-09-2020,29
Norway,8105.0,32.0,219.0,7854.0,05-10-2020,6
Norway,8132.0,32.0,224.0,7876.0,05-11-2020,27
Norway,8157.0,32.0,228.0,7897.0,05-12-2020,25
Norway,8175.0,32.0,229.0,7914.0,05-13-2020,18
Norway,8196.0,32.0,232.0,7932.0,05-14-2020,21
Norway,8219.0,32.0,232.0,7955.0,05-15-2020,23
Norway,8237.0,32.0,232.0,7973.0,05-16-2020,18
Norway,8249.0,32.0,232.0,7985.0,05-17-2020,12
Norway,8257.0,32.0,233.0,7992.0,05-18-2020,8
Norway,8267.0,32.0,233.0,8002.0,05-19-2020,10
Norway,8281.0,32.0,234.0,8015.0,05-20-2020,14
Norway,8309.0,32.0,235.0,8042.0,05-21-2020,28
Norway,8332.0,7727.0,235.0,370.0,05-22-2020,23
Norway,8346.0,7727.0,235.0,384.0,05-23-2020,14
Norway,8352.0,7727.0,235.0,390.0,05-24-2020,6
Norway,8364.0,7727.0,235.0,402.0,05-25-2020,12
Norway,8383.0,7727.0,235.0,421.0,05-26-2020,19
Norway,8401.0,7727.0,235.0,439.0,05-27-2020,18
Norway,8411.0,7727.0,236.0,448.0,05-28-2020,10
Norway,8422.0,7727.0,236.0,459.0,05-29-2020,11
Norway,8437.0,7727.0,236.0,474.0,05-30-2020,15
Norway,8440.0,7727.0,236.0,477.0,05-31-2020,3
Norway,8446.0,7727.0,236.0,483.0,06-01-2020,6
Norway,8455.0,7727.0,237.0,491.0,06-02-2020,9
Norway,8477.0,7727.0,237.0,513.0,06-03-2020,22
Norway,8504.0,8138.0,238.0,128.0,06-04-2020,27
Norway,8522.0,8138.0,238.0,146.0,06-05-2020,18
Norway,8531.0,8138.0,238.0,155.0,06-06-2020,9
Norway,8547.0,8138.0,238.0,171.0,06-07-2020,16
Norway,8561.0,8138.0,239.0,184.0,06-08-2020,14
Norway,8576.0,8138.0,239.0,199.0,06-09-2020,15
Norway,8594.0,8138.0,239.0,217.0,06-10-2020,18
Norway,8608.0,8138.0,242.0,228.0,06-11-2020,14
Norway,8620.0,8138.0,242.0,240.0,06-12-2020,12
Norway,8628.0,8138.0,242.0,248.0,06-13-2020,8
Norway,8631.0,8138.0,242.0,251.0,06-14-2020,3
Norway,8647.0,8138.0,242.0,267.0,06-15-2020,16
Norway,8660.0,8138.0,242.0,280.0,06-16-2020,13
Norway,8692.0,8138.0,243.0,311.0,06-17-2020,32
Norway,8708.0,8138.0,244.0,326.0,06-18-2020,16
Norway,8726.0,8138.0,244.0,344.0,06-19-2020,18
Norway,8742.0,8138.0,244.0,360.0,06-20-2020,16
Norway,8745.0,8138.0,244.0,363.0,06-21-2020,3
Norway,8751.0,8138.0,248.0,365.0,06-22-2020,6
Norway,8772.0,8138.0,248.0,386.0,06-23-2020,21
Norway,8788.0,8138.0,249.0,401.0,06-24-2020,16
Norway,8788.0,8138.0,249.0,401.0,06-25-2020,16
Norway,8832.0,8138.0,249.0,445.0,06-26-2020,44
Norway,8846.0,8138.0,249.0,459.0,06-27-2020,14
Norway,8855.0,8138.0,249.0,468.0,06-28-2020,9
Norway,8862.0,8138.0,249.0,475.0,06-29-2020,7
Norway,8879.0,8138.0,250.0,491.0,06-30-2020,17
Norway,8896.0,8138.0,251.0,507.0,07-01-2020,17
Norway,8902.0,8138.0,251.0,513.0,07-02-2020,6
Norway,8921.0,8138.0,251.0,532.0,07-03-2020,19
Norway,8926.0,8138.0,251.0,537.0,07-04-2020,5
Norway,8930.0,8138.0,251.0,541.0,07-05-2020,4
Norway,8936.0,8138.0,251.0,547.0,07-06-2020,6
Norway,8947.0,8138.0,251.0,558.0,07-07-2020,11
Norway,8950.0,8138.0,251.0,561.0,07-08-2020,3
Norway,8965.0,8138.0,252.0,575.0,07-09-2020,15
Norway,8974.0,8138.0,252.0,584.0,07-10-2020,9
Norway,8977.0,8138.0,252.0,587.0,07-11-2020,3
Norway,8981.0,8138.0,252.0,591.0,07-12-2020,4
Norway,8984.0,8138.0,253.0,593.0,07-13-2020,3
Norway,9001.0,8138.0,253.0,610.0,07-14-2020,17
Norway,9011.0,8138.0,253.0,620.0,07-15-2020,10
Norway,9015.0,8138.0,254.0,623.0,07-16-2020,4
Norway,9025.0,8138.0,255.0,632.0,07-17-2020,10
Norway,9028.0,8138.0,255.0,635.0,07-18-2020,3
Norway,9028.0,8138.0,255.0,635.0,07-19-2020,3
Norway,9034.0,8138.0,255.0,641.0,07-20-2020,6
Norway,9053.0,8138.0,255.0,660.0,07-21-2020,19
Norway,9059.0,8138.0,255.0,666.0,07-22-2020,6
Norway,9085.0,8674.0,255.0,156.0,07-23-2020,26
Norway,9092.0,8674.0,255.0,163.0,07-24-2020,7
Norway,9111.0,8674.0,255.0,182.0,07-25-2020,19
Norway,9117.0,8752.0,255.0,110.0,07-26-2020,6
Norway,9132.0,8752.0,255.0,125.0,07-27-2020,15
Norway,9150.0,8752.0,255.0,143.0,07-28-2020,18
Norway,9172.0,8752.0,255.0,165.0,07-29-2020,22
Norway,9208.0,8752.0,255.0,201.0,07-30-2020,36
Norway,9240.0,8752.0,255.0,233.0,07-31-2020,32
Norway,9253.0,8752.0,255.0,246.0,08-01-2020,13
Norway,9268.0,8752.0,255.0,261.0,08-02-2020,15
Norway,9334.0,8752.0,256.0,326.0,08-03-2020,66
Norway,9362.0,8752.0,256.0,354.0,08-04-2020,28
Norway,9409.0,8752.0,256.0,401.0,08-05-2020,47
Norway,9468.0,8857.0,256.0,355.0,08-06-2020,59
Norway,9551.0,8857.0,256.0,438.0,08-07-2020,83
Norway,9599.0,8857.0,256.0,486.0,08-08-2020,48
Norway,9638.0,8857.0,256.0,525.0,08-09-2020,39
Norway,9684.0,8857.0,256.0,571.0,08-10-2020,46
Norway,9751.0,8857.0,256.0,638.0,08-11-2020,67
Norway,9783.0,8857.0,256.0,670.0,08-12-2020,32
Norway,9851.0,8857.0,257.0,737.0,08-13-2020,68
Norway,9908.0,8857.0,261.0,790.0,08-14-2020,57
Norway,9965.0,8857.0,261.0,847.0,08-15-2020,57
Norway,10005.0,8857.0,261.0,887.0,08-16-2020,40
Norway,10060.0,8857.0,261.0,942.0,08-17-2020,55
Norway,10111.0,8857.0,262.0,992.0,08-18-2020,51
Norway,10162.0,8857.0,262.0,1043.0,08-19-2020,51
Norway,10197.0,9150.0,264.0,783.0,08-20-2020,35
Norway,10275.0,9150.0,264.0,861.0,08-21-2020,78
Norway,10299.0,9150.0,264.0,885.0,08-22-2020,24
Norway,10323.0,9150.0,264.0,909.0,08-23-2020,24
Norway,10395.0,9150.0,264.0,981.0,08-24-2020,72
Norway,10454.0,9150.0,264.0,1040.0,08-25-2020,59
Norway,10504.0,9150.0,264.0,1090.0,08-26-2020,50
Norway,10542.0,9348.0,264.0,930.0,08-27-2020,38
Norway,10582.0,9348.0,264.0,970.0,08-28-2020,40
Norway,10611.0,9348.0,264.0,999.0,08-29-2020,29
Norway,10643.0,9348.0,264.0,1031.0,08-30-2020,32
Norway,10782.0,9348.0,264.0,1170.0,08-31-2020,139
Norway,10871.0,9348.0,264.0,1259.0,09-01-2020,89
Norway,11034.0,9348.0,264.0,1422.0,09-02-2020,163
Norway,11120.0,9348.0,264.0,1508.0,09-03-2020,86
Norway,11231.0,9348.0,264.0,1619.0,09-04-2020,111
Norway,11296.0,9348.0,264.0,1684.0,09-05-2020,65
Norway,11388.0,9348.0,264.0,1776.0,09-06-2020,92
Norway,11521.0,9348.0,264.0,1909.0,09-07-2020,133
Norway,11623.0,9348.0,264.0,2011.0,09-08-2020,102
Norway,11746.0,9348.0,264.0,2134.0,09-09-2020,123
Norway,11867.0,9348.0,265.0,2254.0,09-10-2020,121
Norway,12003.0,10371.0,265.0,1367.0,09-11-2020,136
