Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Slovenia,0.0,0.0,0.0,0.0,01-22-2020,0
Slovenia,0.0,0.0,0.0,0.0,01-23-2020,0
Slovenia,0.0,0.0,0.0,0.0,01-24-2020,0
Slovenia,0.0,0.0,0.0,0.0,01-25-2020,0
Slovenia,0.0,0.0,0.0,0.0,01-26-2020,0
Slovenia,0.0,0.0,0.0,0.0,01-27-2020,0
Slovenia,0.0,0.0,0.0,0.0,01-28-2020,0
Slovenia,0.0,0.0,0.0,0.0,01-29-2020,0
Slovenia,0.0,0.0,0.0,0.0,01-30-2020,0
Slovenia,0.0,0.0,0.0,0.0,01-31-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-01-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-02-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-03-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-04-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-05-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-06-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-07-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-08-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-09-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-10-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-11-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-12-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-13-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-14-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-15-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-16-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-17-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-18-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-19-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-20-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-21-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-22-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-23-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-24-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-25-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-26-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-27-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-28-2020,0
Slovenia,0.0,0.0,0.0,0.0,02-29-2020,0
Slovenia,0.0,0.0,0.0,0.0,03-01-2020,0
Slovenia,0.0,0.0,0.0,0.0,03-02-2020,0
Slovenia,0.0,0.0,0.0,0.0,03-03-2020,0
Slovenia,0.0,0.0,0.0,0.0,03-04-2020,0
Slovenia,2.0,0.0,0.0,0.0,03-05-2020,2
Slovenia,7.0,0.0,0.0,0.0,03-06-2020,5
Slovenia,7.0,0.0,0.0,0.0,03-07-2020,5
Slovenia,16.0,0.0,0.0,0.0,03-08-2020,9
Slovenia,16.0,0.0,0.0,0.0,03-09-2020,9
Slovenia,31.0,0.0,0.0,0.0,03-10-2020,15
Slovenia,57.0,0.0,0.0,0.0,03-11-2020,26
Slovenia,89.0,0.0,0.0,0.0,03-12-2020,32
Slovenia,141.0,0.0,0.0,0.0,03-13-2020,52
Slovenia,181.0,0.0,1.0,0.0,03-14-2020,40
Slovenia,219.0,0.0,1.0,0.0,03-15-2020,38
Slovenia,253.0,0.0,1.0,0.0,03-16-2020,34
Slovenia,275.0,0.0,1.0,0.0,03-17-2020,22
Slovenia,275.0,0.0,1.0,0.0,03-18-2020,22
Slovenia,286.0,0.0,1.0,0.0,03-19-2020,11
Slovenia,341.0,0.0,1.0,0.0,03-20-2020,55
Slovenia,383.0,0.0,1.0,0.0,03-21-2020,42
Slovenia,414.0,0.0,2.0,412.0,03-22-2020,31
Slovenia,442.0,0.0,3.0,439.0,03-23-2020,28
Slovenia,480.0,3.0,4.0,473.0,03-24-2020,38
Slovenia,528.0,10.0,5.0,513.0,03-25-2020,48
Slovenia,562.0,10.0,6.0,546.0,03-26-2020,34
Slovenia,632.0,10.0,9.0,613.0,03-27-2020,70
Slovenia,684.0,10.0,9.0,665.0,03-28-2020,52
Slovenia,730.0,10.0,11.0,709.0,03-29-2020,46
Slovenia,756.0,10.0,11.0,735.0,03-30-2020,26
Slovenia,802.0,10.0,15.0,777.0,03-31-2020,46
Slovenia,841.0,10.0,15.0,816.0,04-01-2020,39
Slovenia,897.0,70.0,17.0,810.0,04-02-2020,56
Slovenia,934.0,70.0,20.0,844.0,04-03-2020,37
Slovenia,977.0,79.0,22.0,876.0,04-04-2020,43
Slovenia,997.0,79.0,28.0,890.0,04-05-2020,20
Slovenia,1021.0,102.0,30.0,889.0,04-06-2020,24
Slovenia,1059.0,102.0,36.0,921.0,04-07-2020,38
Slovenia,1091.0,120.0,40.0,931.0,04-08-2020,32
Slovenia,1124.0,128.0,43.0,953.0,04-09-2020,33
Slovenia,1160.0,137.0,45.0,978.0,04-10-2020,36
Slovenia,1188.0,148.0,50.0,990.0,04-11-2020,28
Slovenia,1205.0,150.0,53.0,1002.0,04-12-2020,17
Slovenia,1212.0,152.0,55.0,1005.0,04-13-2020,7
Slovenia,1220.0,152.0,56.0,1012.0,04-14-2020,8
Slovenia,1248.0,165.0,61.0,1022.0,04-15-2020,28
Slovenia,1268.0,174.0,61.0,1033.0,04-16-2020,20
Slovenia,1304.0,174.0,66.0,1064.0,04-17-2020,36
Slovenia,1317.0,190.0,70.0,1057.0,04-18-2020,13
Slovenia,1330.0,192.0,74.0,1064.0,04-19-2020,13
Slovenia,1335.0,193.0,77.0,1065.0,04-20-2020,5
Slovenia,1344.0,197.0,77.0,1070.0,04-21-2020,9
Slovenia,1353.0,205.0,79.0,1069.0,04-22-2020,9
Slovenia,1366.0,211.0,79.0,1076.0,04-23-2020,13
Slovenia,1373.0,211.0,80.0,1082.0,04-24-2020,7
Slovenia,1388.0,219.0,81.0,1088.0,04-25-2020,15
Slovenia,1396.0,221.0,82.0,1093.0,04-26-2020,8
Slovenia,1402.0,221.0,83.0,1098.0,04-27-2020,6
Slovenia,1408.0,223.0,86.0,1099.0,04-28-2020,6
Slovenia,1418.0,230.0,89.0,1099.0,04-29-2020,10
Slovenia,1429.0,233.0,91.0,1105.0,04-30-2020,11
Slovenia,1434.0,233.0,92.0,1109.0,05-01-2020,5
Slovenia,1439.0,239.0,94.0,1106.0,05-02-2020,5
Slovenia,1439.0,241.0,96.0,1102.0,05-03-2020,5
Slovenia,1439.0,241.0,97.0,1101.0,05-04-2020,5
Slovenia,1445.0,244.0,98.0,1103.0,05-05-2020,6
Slovenia,1448.0,246.0,99.0,1103.0,05-06-2020,3
Slovenia,1449.0,247.0,99.0,1103.0,05-07-2020,1
Slovenia,1450.0,252.0,100.0,1098.0,05-08-2020,1
Slovenia,1454.0,255.0,101.0,1098.0,05-09-2020,4
Slovenia,1457.0,256.0,102.0,1099.0,05-10-2020,3
Slovenia,1460.0,256.0,102.0,1102.0,05-11-2020,3
Slovenia,1461.0,259.0,102.0,1100.0,05-12-2020,1
Slovenia,1463.0,260.0,103.0,1100.0,05-13-2020,2
Slovenia,1464.0,267.0,103.0,1094.0,05-14-2020,1
Slovenia,1465.0,270.0,103.0,1092.0,05-15-2020,1
Slovenia,1465.0,272.0,103.0,1090.0,05-16-2020,1
Slovenia,1466.0,273.0,104.0,1089.0,05-17-2020,1
Slovenia,1466.0,1335.0,104.0,27.0,05-18-2020,1
Slovenia,1467.0,1338.0,104.0,25.0,05-19-2020,1
Slovenia,1468.0,1340.0,105.0,23.0,05-20-2020,1
Slovenia,1468.0,1340.0,106.0,22.0,05-21-2020,1
Slovenia,1468.0,1340.0,106.0,22.0,05-22-2020,1
Slovenia,1468.0,1340.0,106.0,22.0,05-23-2020,1
Slovenia,1468.0,1340.0,107.0,21.0,05-24-2020,1
Slovenia,1469.0,1346.0,107.0,16.0,05-25-2020,1
Slovenia,1469.0,1346.0,108.0,15.0,05-26-2020,1
Slovenia,1471.0,1354.0,108.0,9.0,05-27-2020,2
Slovenia,1473.0,1356.0,108.0,9.0,05-28-2020,2
Slovenia,1473.0,1357.0,108.0,8.0,05-29-2020,2
Slovenia,1473.0,1357.0,108.0,8.0,05-30-2020,2
