Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Spain,0.0,0.0,0.0,0.0,01-22-2020,0
Spain,0.0,0.0,0.0,0.0,01-23-2020,0
Spain,0.0,0.0,0.0,0.0,01-24-2020,0
Spain,0.0,0.0,0.0,0.0,01-25-2020,0
Spain,0.0,0.0,0.0,0.0,01-26-2020,0
Spain,0.0,0.0,0.0,0.0,01-27-2020,0
Spain,0.0,0.0,0.0,0.0,01-28-2020,0
Spain,0.0,0.0,0.0,0.0,01-29-2020,0
Spain,0.0,0.0,0.0,0.0,01-30-2020,0
Spain,0.0,0.0,0.0,0.0,01-31-2020,0
Spain,1.0,0.0,0.0,0.0,02-01-2020,1
Spain,1.0,0.0,0.0,0.0,02-02-2020,1
Spain,1.0,0.0,0.0,0.0,02-03-2020,1
Spain,1.0,0.0,0.0,0.0,02-04-2020,1
Spain,1.0,0.0,0.0,0.0,02-05-2020,1
Spain,1.0,0.0,0.0,0.0,02-06-2020,1
Spain,1.0,0.0,0.0,0.0,02-07-2020,1
Spain,1.0,0.0,0.0,0.0,02-08-2020,1
Spain,2.0,0.0,0.0,0.0,02-09-2020,1
Spain,2.0,0.0,0.0,0.0,02-10-2020,1
Spain,2.0,0.0,0.0,0.0,02-11-2020,1
Spain,2.0,0.0,0.0,0.0,02-12-2020,1
Spain,2.0,0.0,0.0,0.0,02-13-2020,1
Spain,2.0,0.0,0.0,0.0,02-14-2020,1
Spain,2.0,2.0,0.0,0.0,02-15-2020,1
Spain,2.0,2.0,0.0,0.0,02-16-2020,1
Spain,2.0,2.0,0.0,0.0,02-17-2020,1
Spain,2.0,2.0,0.0,0.0,02-18-2020,1
Spain,2.0,2.0,0.0,0.0,02-19-2020,1
Spain,2.0,2.0,0.0,0.0,02-20-2020,1
Spain,2.0,2.0,0.0,0.0,02-21-2020,1
Spain,2.0,2.0,0.0,0.0,02-22-2020,1
Spain,2.0,2.0,0.0,0.0,02-23-2020,1
Spain,2.0,2.0,0.0,0.0,02-24-2020,1
Spain,6.0,2.0,0.0,0.0,02-25-2020,4
Spain,13.0,2.0,0.0,0.0,02-26-2020,7
Spain,15.0,2.0,0.0,0.0,02-27-2020,2
Spain,32.0,2.0,0.0,0.0,02-28-2020,17
Spain,45.0,2.0,0.0,0.0,02-29-2020,13
Spain,84.0,2.0,0.0,0.0,03-01-2020,39
Spain,120.0,2.0,0.0,0.0,03-02-2020,36
Spain,165.0,2.0,1.0,0.0,03-03-2020,45
Spain,222.0,2.0,2.0,0.0,03-04-2020,57
Spain,259.0,2.0,3.0,0.0,03-05-2020,37
Spain,400.0,2.0,5.0,0.0,03-06-2020,141
Spain,500.0,30.0,10.0,0.0,03-07-2020,100
Spain,673.0,30.0,17.0,0.0,03-08-2020,173
Spain,1073.0,32.0,28.0,0.0,03-09-2020,400
Spain,1695.0,32.0,35.0,0.0,03-10-2020,622
Spain,2277.0,183.0,54.0,0.0,03-11-2020,582
Spain,2277.0,183.0,55.0,0.0,03-12-2020,582
Spain,5232.0,193.0,133.0,0.0,03-13-2020,2955
Spain,6391.0,517.0,195.0,0.0,03-14-2020,1159
Spain,7798.0,517.0,289.0,0.0,03-15-2020,1407
Spain,9942.0,530.0,342.0,0.0,03-16-2020,2144
Spain,11748.0,1028.0,533.0,0.0,03-17-2020,1806
Spain,13910.0,1081.0,623.0,0.0,03-18-2020,2162
Spain,17963.0,1107.0,830.0,0.0,03-19-2020,4053
Spain,20410.0,1588.0,1043.0,0.0,03-20-2020,2447
Spain,25374.0,2125.0,1375.0,0.0,03-21-2020,4964
Spain,28603.0,2125.0,1756.0,24722.0,03-22-2020,3229
Spain,35136.0,3355.0,2311.0,29470.0,03-23-2020,6533
Spain,39885.0,3794.0,2808.0,33283.0,03-24-2020,4749
Spain,49515.0,5367.0,3647.0,40501.0,03-25-2020,9630
Spain,57786.0,7015.0,4365.0,46406.0,03-26-2020,8271
Spain,65719.0,9357.0,5138.0,51224.0,03-27-2020,7933
Spain,73235.0,12285.0,5982.0,54968.0,03-28-2020,7516
Spain,80110.0,14709.0,6803.0,58598.0,03-29-2020,6875
Spain,87956.0,16780.0,7716.0,63460.0,03-30-2020,7846
Spain,95923.0,19259.0,8464.0,68200.0,03-31-2020,7967
Spain,104118.0,22647.0,9387.0,72084.0,04-01-2020,8195
Spain,112065.0,26743.0,10348.0,74974.0,04-02-2020,7947
Spain,119199.0,30513.0,11198.0,77488.0,04-03-2020,7134
Spain,126168.0,34219.0,11947.0,80002.0,04-04-2020,6969
Spain,131646.0,38080.0,12641.0,80925.0,04-05-2020,5478
Spain,136675.0,40437.0,13341.0,82897.0,04-06-2020,5029
Spain,141942.0,43208.0,14045.0,84689.0,04-07-2020,5267
Spain,148220.0,48021.0,14792.0,85407.0,04-08-2020,6278
Spain,153222.0,52165.0,15447.0,85610.0,04-09-2020,5002
Spain,158273.0,55668.0,16081.0,86524.0,04-10-2020,5051
Spain,163027.0,59109.0,16606.0,87312.0,04-11-2020,4754
Spain,166831.0,62391.0,17209.0,87231.0,04-12-2020,3804
Spain,170099.0,64727.0,17756.0,87616.0,04-13-2020,3268
Spain,172541.0,67504.0,18056.0,86981.0,04-14-2020,2442
Spain,177644.0,70853.0,18708.0,88083.0,04-15-2020,5103
Spain,184948.0,74797.0,19315.0,90836.0,04-16-2020,7304
Spain,190839.0,74797.0,20002.0,96040.0,04-17-2020,5891
Spain,191726.0,74797.0,20043.0,96886.0,04-18-2020,887
Spain,198674.0,77357.0,20453.0,100864.0,04-19-2020,6948
Spain,200210.0,80587.0,20852.0,98771.0,04-20-2020,1536
Spain,204178.0,82514.0,21282.0,100382.0,04-21-2020,3968
Spain,208389.0,85915.0,21717.0,100757.0,04-22-2020,4211
Spain,213024.0,89250.0,22157.0,101617.0,04-23-2020,4635
Spain,219764.0,92355.0,22524.0,104885.0,04-24-2020,6740
Spain,223759.0,95708.0,22902.0,105149.0,04-25-2020,3995
Spain,226629.0,117727.0,23190.0,85712.0,04-26-2020,2870
Spain,229422.0,120832.0,23521.0,85069.0,04-27-2020,2793
Spain,232128.0,123903.0,23822.0,84403.0,04-28-2020,2706
Spain,236899.0,132929.0,24275.0,79695.0,04-29-2020,4771
Spain,213435.0,112050.0,24543.0,76842.0,04-30-2020,23464
Spain,213435.0,112050.0,24543.0,76842.0,05-01-2020,23464
Spain,216582.0,117248.0,25100.0,74234.0,05-02-2020,3147
Spain,217466.0,118902.0,25264.0,73300.0,05-03-2020,884
Spain,218011.0,121343.0,25428.0,71240.0,05-04-2020,545
Spain,219329.0,123486.0,25613.0,70230.0,05-05-2020,1318
Spain,220325.0,126002.0,25857.0,68466.0,05-06-2020,996
Spain,221447.0,128511.0,26070.0,66866.0,05-07-2020,1122
Spain,222857.0,131148.0,26299.0,65410.0,05-08-2020,1410
Spain,223578.0,133952.0,26478.0,63148.0,05-09-2020,721
Spain,224350.0,136166.0,26621.0,61563.0,05-10-2020,772
Spain,227436.0,137139.0,26744.0,63553.0,05-11-2020,3086
Spain,228030.0,138980.0,26920.0,62130.0,05-12-2020,594
Spain,228691.0,140823.0,27104.0,60764.0,05-13-2020,661
Spain,229540.0,143374.0,27321.0,58845.0,05-14-2020,849
Spain,230183.0,144783.0,27459.0,57941.0,05-15-2020,643
Spain,230698.0,146446.0,27563.0,56689.0,05-16-2020,515
Spain,230698.0,146446.0,27563.0,56689.0,05-17-2020,515
Spain,231606.0,150376.0,27709.0,53521.0,05-18-2020,908
Spain,232037.0,150376.0,27778.0,53883.0,05-19-2020,431
Spain,232555.0,150376.0,27888.0,54291.0,05-20-2020,518
Spain,233037.0,150376.0,27940.0,54721.0,05-21-2020,482
Spain,234824.0,150376.0,28628.0,55820.0,05-22-2020,1787
Spain,235290.0,150376.0,28678.0,56236.0,05-23-2020,466
Spain,235772.0,150376.0,28752.0,56644.0,05-24-2020,482
Spain,235400.0,150376.0,26834.0,58190.0,05-25-2020,372
Spain,236259.0,150376.0,27117.0,58766.0,05-26-2020,859
Spain,236259.0,150376.0,27117.0,58766.0,05-27-2020,859
Spain,237906.0,150376.0,27119.0,60411.0,05-28-2020,1647
Spain,238564.0,150376.0,27121.0,61067.0,05-29-2020,658
Spain,239228.0,150376.0,27125.0,61727.0,05-30-2020,664
Spain,239479.0,150376.0,27127.0,61976.0,05-31-2020,251
Spain,239638.0,150376.0,27127.0,62135.0,06-01-2020,159
Spain,239932.0,150376.0,27127.0,62429.0,06-02-2020,294
Spain,240326.0,150376.0,27128.0,62822.0,06-03-2020,394
Spain,240660.0,150376.0,27133.0,63151.0,06-04-2020,334
Spain,240978.0,150376.0,27134.0,63468.0,06-05-2020,318
Spain,241310.0,150376.0,27135.0,63799.0,06-06-2020,332
Spain,241550.0,150376.0,27136.0,64038.0,06-07-2020,240
Spain,241717.0,150376.0,27136.0,64205.0,06-08-2020,167
Spain,241966.0,150376.0,27136.0,64454.0,06-09-2020,249
Spain,242280.0,150376.0,27136.0,64768.0,06-10-2020,314
Spain,242707.0,150376.0,27136.0,65195.0,06-11-2020,427
Spain,243209.0,150376.0,27136.0,65697.0,06-12-2020,502
Spain,243605.0,150376.0,27136.0,66093.0,06-13-2020,396
Spain,243928.0,150376.0,27136.0,66416.0,06-14-2020,323
Spain,244109.0,150376.0,27136.0,66597.0,06-15-2020,181
Spain,244328.0,150376.0,27136.0,66816.0,06-16-2020,219
Spain,244683.0,150376.0,27136.0,67171.0,06-17-2020,355
Spain,245268.0,150376.0,27136.0,67756.0,06-18-2020,585
Spain,245575.0,150376.0,28315.0,66884.0,06-19-2020,307
Spain,245938.0,150376.0,28322.0,67240.0,06-20-2020,363
Spain,246272.0,150376.0,28323.0,67573.0,06-21-2020,334
Spain,246504.0,150376.0,28324.0,67804.0,06-22-2020,232
Spain,246752.0,150376.0,28325.0,68051.0,06-23-2020,248
Spain,247086.0,150376.0,28327.0,68383.0,06-24-2020,334
Spain,247486.0,150376.0,28330.0,68780.0,06-25-2020,400
Spain,247905.0,150376.0,28338.0,69191.0,06-26-2020,419
