Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Sweden,0.0,0.0,0.0,0.0,01-22-2020,0
Sweden,0.0,0.0,0.0,0.0,01-23-2020,0
Sweden,0.0,0.0,0.0,0.0,01-24-2020,0
Sweden,0.0,0.0,0.0,0.0,01-25-2020,0
Sweden,0.0,0.0,0.0,0.0,01-26-2020,0
Sweden,0.0,0.0,0.0,0.0,01-27-2020,0
Sweden,0.0,0.0,0.0,0.0,01-28-2020,0
Sweden,0.0,0.0,0.0,0.0,01-29-2020,0
Sweden,0.0,0.0,0.0,0.0,01-30-2020,0
Sweden,1.0,0.0,0.0,0.0,01-31-2020,1
Sweden,1.0,0.0,0.0,0.0,02-01-2020,1
Sweden,1.0,0.0,0.0,0.0,02-02-2020,1
Sweden,1.0,0.0,0.0,0.0,02-03-2020,1
Sweden,1.0,0.0,0.0,0.0,02-04-2020,1
Sweden,1.0,0.0,0.0,0.0,02-05-2020,1
Sweden,1.0,0.0,0.0,0.0,02-06-2020,1
Sweden,1.0,0.0,0.0,0.0,02-07-2020,1
Sweden,1.0,0.0,0.0,0.0,02-08-2020,1
Sweden,1.0,0.0,0.0,0.0,02-09-2020,1
Sweden,1.0,0.0,0.0,0.0,02-10-2020,1
Sweden,1.0,0.0,0.0,0.0,02-11-2020,1
Sweden,1.0,0.0,0.0,0.0,02-12-2020,1
Sweden,1.0,0.0,0.0,0.0,02-13-2020,1
Sweden,1.0,0.0,0.0,0.0,02-14-2020,1
Sweden,1.0,0.0,0.0,0.0,02-15-2020,1
Sweden,1.0,0.0,0.0,0.0,02-16-2020,1
Sweden,1.0,0.0,0.0,0.0,02-17-2020,1
Sweden,1.0,0.0,0.0,0.0,02-18-2020,1
Sweden,1.0,0.0,0.0,0.0,02-19-2020,1
Sweden,1.0,0.0,0.0,0.0,02-20-2020,1
Sweden,1.0,0.0,0.0,0.0,02-21-2020,1
Sweden,1.0,0.0,0.0,0.0,02-22-2020,1
Sweden,1.0,0.0,0.0,0.0,02-23-2020,1
Sweden,1.0,0.0,0.0,0.0,02-24-2020,1
Sweden,1.0,0.0,0.0,0.0,02-25-2020,1
Sweden,2.0,0.0,0.0,0.0,02-26-2020,1
Sweden,7.0,0.0,0.0,0.0,02-27-2020,5
Sweden,7.0,0.0,0.0,0.0,02-28-2020,5
Sweden,12.0,0.0,0.0,0.0,02-29-2020,5
Sweden,14.0,0.0,0.0,0.0,03-01-2020,2
Sweden,15.0,0.0,0.0,0.0,03-02-2020,1
Sweden,21.0,0.0,0.0,0.0,03-03-2020,6
Sweden,35.0,0.0,0.0,0.0,03-04-2020,14
Sweden,94.0,0.0,0.0,0.0,03-05-2020,59
Sweden,101.0,0.0,0.0,0.0,03-06-2020,7
Sweden,161.0,0.0,0.0,0.0,03-07-2020,60
Sweden,203.0,0.0,0.0,0.0,03-08-2020,42
Sweden,248.0,1.0,0.0,0.0,03-09-2020,45
Sweden,355.0,1.0,0.0,0.0,03-10-2020,107
Sweden,500.0,1.0,1.0,0.0,03-11-2020,145
Sweden,599.0,1.0,1.0,0.0,03-12-2020,99
Sweden,814.0,1.0,1.0,0.0,03-13-2020,215
Sweden,961.0,1.0,2.0,0.0,03-14-2020,147
Sweden,1022.0,1.0,3.0,0.0,03-15-2020,61
Sweden,1103.0,1.0,6.0,0.0,03-16-2020,81
Sweden,1190.0,1.0,7.0,0.0,03-17-2020,87
Sweden,1279.0,1.0,10.0,0.0,03-18-2020,89
Sweden,1439.0,16.0,11.0,0.0,03-19-2020,160
Sweden,1639.0,16.0,16.0,0.0,03-20-2020,200
Sweden,1763.0,16.0,20.0,0.0,03-21-2020,124
Sweden,1931.0,16.0,21.0,1894.0,03-22-2020,168
Sweden,2046.0,16.0,25.0,2005.0,03-23-2020,115
Sweden,2286.0,16.0,36.0,2234.0,03-24-2020,240
Sweden,2526.0,16.0,62.0,2448.0,03-25-2020,240
Sweden,2840.0,16.0,77.0,2747.0,03-26-2020,314
Sweden,3069.0,16.0,105.0,2948.0,03-27-2020,229
Sweden,3447.0,16.0,105.0,3326.0,03-28-2020,378
Sweden,3700.0,16.0,110.0,3574.0,03-29-2020,253
Sweden,4028.0,16.0,146.0,3866.0,03-30-2020,328
Sweden,4435.0,16.0,180.0,4239.0,03-31-2020,407
Sweden,4947.0,103.0,239.0,4605.0,04-01-2020,512
Sweden,5568.0,103.0,308.0,5157.0,04-02-2020,621
Sweden,6131.0,205.0,358.0,5568.0,04-03-2020,563
Sweden,6443.0,205.0,373.0,5865.0,04-04-2020,312
Sweden,6830.0,205.0,401.0,6224.0,04-05-2020,387
Sweden,7206.0,205.0,477.0,6524.0,04-06-2020,376
Sweden,7693.0,205.0,591.0,6897.0,04-07-2020,487
Sweden,8419.0,205.0,687.0,7527.0,04-08-2020,726
Sweden,9141.0,205.0,793.0,8143.0,04-09-2020,722
Sweden,9685.0,381.0,870.0,8434.0,04-10-2020,544
Sweden,10151.0,381.0,887.0,8883.0,04-11-2020,466
Sweden,10483.0,381.0,899.0,9203.0,04-12-2020,332
Sweden,10948.0,381.0,919.0,9648.0,04-13-2020,465
Sweden,11445.0,381.0,1033.0,10031.0,04-14-2020,497
Sweden,11927.0,381.0,1203.0,10343.0,04-15-2020,482
Sweden,12540.0,550.0,1333.0,10657.0,04-16-2020,613
Sweden,13216.0,550.0,1400.0,11266.0,04-17-2020,676
Sweden,13822.0,550.0,1511.0,11761.0,04-18-2020,606
Sweden,14385.0,550.0,1540.0,12295.0,04-19-2020,563
Sweden,14777.0,550.0,1580.0,12647.0,04-20-2020,392
Sweden,15322.0,550.0,1765.0,13007.0,04-21-2020,545
Sweden,16004.0,550.0,1937.0,13517.0,04-22-2020,682
Sweden,16755.0,550.0,2021.0,14184.0,04-23-2020,751
Sweden,17567.0,1005.0,2152.0,14410.0,04-24-2020,812
Sweden,18177.0,1005.0,2192.0,14980.0,04-25-2020,610
Sweden,18640.0,1005.0,2194.0,15441.0,04-26-2020,463
Sweden,18926.0,1005.0,2274.0,15647.0,04-27-2020,286
Sweden,19621.0,1005.0,2355.0,16261.0,04-28-2020,695
Sweden,20302.0,1005.0,2462.0,16835.0,04-29-2020,681
Sweden,21092.0,1005.0,2586.0,17501.0,04-30-2020,790
Sweden,21520.0,1005.0,2653.0,17862.0,05-01-2020,428
Sweden,22082.0,1005.0,2669.0,18408.0,05-02-2020,562
Sweden,22317.0,1005.0,2679.0,18633.0,05-03-2020,235
Sweden,22721.0,4074.0,2769.0,15878.0,05-04-2020,404
Sweden,23216.0,4074.0,2854.0,16288.0,05-05-2020,495
Sweden,23918.0,4074.0,2941.0,16903.0,05-06-2020,702
Sweden,24623.0,4971.0,3040.0,16612.0,05-07-2020,705
Sweden,25265.0,4971.0,3175.0,17119.0,05-08-2020,642
Sweden,25921.0,4971.0,3220.0,17730.0,05-09-2020,656
Sweden,26322.0,4971.0,3225.0,18126.0,05-10-2020,401
Sweden,26670.0,4971.0,3256.0,18443.0,05-11-2020,348
Sweden,27272.0,4971.0,3313.0,18988.0,05-12-2020,602
Sweden,27909.0,4971.0,3460.0,19478.0,05-13-2020,637
Sweden,28582.0,4971.0,3529.0,20082.0,05-14-2020,673
Sweden,29207.0,4971.0,3646.0,20590.0,05-15-2020,625
Sweden,29677.0,4971.0,3674.0,21032.0,05-16-2020,470
Sweden,30143.0,4971.0,3679.0,21493.0,05-17-2020,466
Sweden,30377.0,4971.0,3698.0,21708.0,05-18-2020,234
Sweden,30799.0,4971.0,3743.0,22085.0,05-19-2020,422
Sweden,31523.0,4971.0,3831.0,22721.0,05-20-2020,724
Sweden,32172.0,4971.0,3871.0,23330.0,05-21-2020,649
Sweden,32809.0,4971.0,3925.0,23913.0,05-22-2020,637
Sweden,33188.0,4971.0,3992.0,24225.0,05-23-2020,379
Sweden,33459.0,4971.0,3998.0,24490.0,05-24-2020,271
Sweden,33843.0,4971.0,4029.0,24843.0,05-25-2020,384
Sweden,34440.0,4971.0,4125.0,25344.0,05-26-2020,597
Sweden,35088.0,4971.0,4220.0,25897.0,05-27-2020,648
Sweden,35727.0,4971.0,4266.0,26490.0,05-28-2020,639
Sweden,36476.0,4971.0,4350.0,27155.0,05-29-2020,749
Sweden,37113.0,4971.0,4395.0,27747.0,05-30-2020,637
Sweden,37542.0,4971.0,4395.0,28176.0,05-31-2020,429
Sweden,37814.0,4971.0,4403.0,28440.0,06-01-2020,272
Sweden,38589.0,0.0,4468.0,34121.0,06-02-2020,775
