Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
United Kingdom,0.0,0.0,0.0,0.0,01-22-2020,0
United Kingdom,0.0,0.0,0.0,0.0,01-23-2020,0
United Kingdom,0.0,0.0,0.0,0.0,01-24-2020,0
United Kingdom,0.0,0.0,0.0,0.0,01-25-2020,0
United Kingdom,0.0,0.0,0.0,0.0,01-26-2020,0
United Kingdom,0.0,0.0,0.0,0.0,01-27-2020,0
United Kingdom,0.0,0.0,0.0,0.0,01-28-2020,0
United Kingdom,0.0,0.0,0.0,0.0,01-29-2020,0
United Kingdom,0.0,0.0,0.0,0.0,01-30-2020,0
United Kingdom,0.0,0.0,0.0,0.0,01-31-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-01-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-02-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-03-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-04-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-05-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-06-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-07-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-08-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-09-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-10-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-11-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-12-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-13-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-14-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-15-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-16-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-17-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-18-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-19-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-20-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-21-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-22-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-23-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-24-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-25-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-26-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-27-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-28-2020,0
United Kingdom,0.0,0.0,0.0,0.0,02-29-2020,0
United Kingdom,0.0,0.0,0.0,0.0,03-01-2020,0
United Kingdom,0.0,0.0,0.0,0.0,03-02-2020,0
United Kingdom,0.0,0.0,0.0,0.0,03-03-2020,0
United Kingdom,0.0,0.0,0.0,0.0,03-04-2020,0
United Kingdom,0.0,0.0,0.0,0.0,03-05-2020,0
United Kingdom,0.0,0.0,0.0,0.0,03-06-2020,0
United Kingdom,0.0,0.0,0.0,0.0,03-07-2020,0
United Kingdom,0.0,0.0,0.0,0.0,03-08-2020,0
United Kingdom,0.0,0.0,0.0,0.0,03-09-2020,0
United Kingdom,0.0,0.0,0.0,0.0,03-10-2020,0
United Kingdom,459.0,19.0,8.0,0.0,03-11-2020,459
United Kingdom,459.0,19.0,8.0,0.0,03-12-2020,459
United Kingdom,801.0,19.0,8.0,0.0,03-13-2020,342
United Kingdom,1143.0,19.0,21.0,0.0,03-14-2020,342
United Kingdom,1144.0,19.0,21.0,0.0,03-15-2020,1
United Kingdom,1551.0,21.0,56.0,0.0,03-16-2020,407
United Kingdom,1960.0,53.0,56.0,0.0,03-17-2020,409
United Kingdom,2642.0,67.0,72.0,0.0,03-18-2020,682
United Kingdom,2716.0,67.0,138.0,0.0,03-19-2020,74
United Kingdom,4014.0,67.0,178.0,0.0,03-20-2020,1298
United Kingdom,5067.0,67.0,234.0,0.0,03-21-2020,1053
United Kingdom,5741.0,95.0,282.0,5364.0,03-22-2020,674
United Kingdom,6726.0,140.0,336.0,6250.0,03-23-2020,985
United Kingdom,8164.0,140.0,423.0,7601.0,03-24-2020,1438
United Kingdom,9640.0,140.0,466.0,9034.0,03-25-2020,1476
United Kingdom,11812.0,150.0,580.0,11082.0,03-26-2020,2172
United Kingdom,14745.0,151.0,761.0,13833.0,03-27-2020,2933
United Kingdom,17312.0,151.0,1021.0,16140.0,03-28-2020,2567
United Kingdom,19780.0,151.0,1231.0,18398.0,03-29-2020,2468
United Kingdom,22453.0,171.0,1411.0,20871.0,03-30-2020,2673
United Kingdom,25481.0,179.0,1793.0,23509.0,03-31-2020,3028
United Kingdom,29865.0,179.0,2357.0,27329.0,04-01-2020,4384
United Kingdom,34173.0,192.0,2926.0,31055.0,04-02-2020,4308
United Kingdom,38689.0,208.0,3611.0,34870.0,04-03-2020,4516
United Kingdom,42477.0,215.0,4320.0,37942.0,04-04-2020,3788
United Kingdom,48436.0,229.0,4943.0,43264.0,04-05-2020,5959
United Kingdom,52279.0,287.0,5385.0,46607.0,04-06-2020,3843
United Kingdom,55949.0,325.0,6171.0,49453.0,04-07-2020,3670
United Kingdom,61474.0,345.0,7111.0,54018.0,04-08-2020,5525
United Kingdom,65872.0,359.0,7993.0,57520.0,04-09-2020,4398
United Kingdom,74605.0,588.0,8974.0,65043.0,04-10-2020,8733
United Kingdom,79874.0,622.0,9892.0,69360.0,04-11-2020,5269
United Kingdom,85206.0,626.0,10629.0,73951.0,04-12-2020,5332
United Kingdom,89570.0,304.0,11347.0,77919.0,04-13-2020,4364
United Kingdom,94845.0,323.0,12129.0,82393.0,04-14-2020,5275
United Kingdom,99483.0,368.0,12894.0,86221.0,04-15-2020,4638
United Kingdom,104145.0,375.0,13759.0,90011.0,04-16-2020,4662
United Kingdom,109769.0,394.0,14607.0,94768.0,04-17-2020,5624
United Kingdom,115314.0,414.0,15498.0,99402.0,04-18-2020,5545
United Kingdom,121172.0,436.0,16095.0,104641.0,04-19-2020,5858
United Kingdom,125856.0,446.0,16550.0,108860.0,04-20-2020,4684
United Kingdom,130172.0,638.0,17378.0,112156.0,04-21-2020,4316
United Kingdom,134638.0,683.0,18151.0,115804.0,04-22-2020,4466
United Kingdom,139246.0,712.0,18791.0,119743.0,04-23-2020,4608
United Kingdom,144640.0,724.0,19567.0,124349.0,04-24-2020,5394
United Kingdom,149569.0,774.0,20381.0,128414.0,04-25-2020,4929
United Kingdom,154037.0,778.0,20794.0,132465.0,04-26-2020,4468
United Kingdom,158348.0,807.0,21157.0,136384.0,04-27-2020,4311
United Kingdom,162350.0,813.0,21745.0,139792.0,04-28-2020,4002
United Kingdom,166441.0,857.0,26166.0,139418.0,04-29-2020,4091
United Kingdom,172481.0,859.0,26842.0,144780.0,04-30-2020,6040
United Kingdom,178685.0,892.0,27583.0,150210.0,05-01-2020,6204
United Kingdom,183500.0,896.0,28205.0,154399.0,05-02-2020,4815
United Kingdom,187842.0,901.0,28520.0,158421.0,05-03-2020,4342
United Kingdom,191832.0,910.0,28809.0,162113.0,05-04-2020,3990
United Kingdom,196243.0,926.0,29501.0,165816.0,05-05-2020,4411
United Kingdom,202359.0,934.0,30150.0,171275.0,05-06-2020,6116
United Kingdom,207977.0,970.0,30689.0,176318.0,05-07-2020,5618
United Kingdom,212629.0,997.0,31316.0,180316.0,05-08-2020,4652
United Kingdom,216525.0,1001.0,31662.0,183862.0,05-09-2020,3896
United Kingdom,220449.0,1002.0,31930.0,187517.0,05-10-2020,3924
