Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Australia,0.0,0.0,0.0,0.0,01-22-2020,0
Australia,0.0,0.0,0.0,0.0,01-23-2020,0
Australia,0.0,0.0,0.0,0.0,01-24-2020,0
Australia,4.0,0.0,0.0,0.0,01-25-2020,4
Australia,4.0,0.0,0.0,0.0,01-26-2020,4
Australia,5.0,0.0,0.0,0.0,01-27-2020,1
Australia,5.0,0.0,0.0,0.0,01-28-2020,1
Australia,5.0,0.0,0.0,0.0,01-29-2020,1
Australia,9.0,2.0,0.0,0.0,01-30-2020,4
Australia,9.0,2.0,0.0,0.0,01-31-2020,4
Australia,12.0,2.0,0.0,0.0,02-01-2020,3
Australia,12.0,2.0,0.0,0.0,02-02-2020,3
Australia,12.0,2.0,0.0,0.0,02-03-2020,3
Australia,13.0,2.0,0.0,0.0,02-04-2020,1
Australia,13.0,2.0,0.0,0.0,02-05-2020,1
Australia,14.0,2.0,0.0,0.0,02-06-2020,1
Australia,15.0,2.0,0.0,0.0,02-07-2020,1
Australia,15.0,2.0,0.0,0.0,02-08-2020,1
Australia,15.0,2.0,0.0,0.0,02-09-2020,1
Australia,15.0,2.0,0.0,0.0,02-10-2020,1
Australia,15.0,2.0,0.0,0.0,02-11-2020,1
Australia,15.0,2.0,0.0,0.0,02-12-2020,1
Australia,15.0,8.0,0.0,0.0,02-13-2020,1
Australia,15.0,8.0,0.0,0.0,02-14-2020,1
Australia,15.0,8.0,0.0,0.0,02-15-2020,1
Australia,15.0,8.0,0.0,0.0,02-16-2020,1
Australia,15.0,10.0,0.0,0.0,02-17-2020,1
Australia,15.0,10.0,0.0,0.0,02-18-2020,1
Australia,15.0,10.0,0.0,0.0,02-19-2020,1
Australia,15.0,10.0,0.0,0.0,02-20-2020,1
Australia,19.0,11.0,0.0,0.0,02-21-2020,4
Australia,22.0,11.0,0.0,0.0,02-22-2020,3
Australia,22.0,11.0,0.0,0.0,02-23-2020,3
Australia,22.0,11.0,0.0,0.0,02-24-2020,3
Australia,22.0,11.0,0.0,0.0,02-25-2020,3
Australia,22.0,11.0,0.0,0.0,02-26-2020,3
Australia,23.0,11.0,0.0,0.0,02-27-2020,1
Australia,23.0,11.0,0.0,0.0,02-28-2020,1
Australia,25.0,11.0,0.0,0.0,02-29-2020,2
Australia,27.0,11.0,1.0,0.0,03-01-2020,2
Australia,30.0,11.0,1.0,0.0,03-02-2020,3
Australia,39.0,11.0,1.0,0.0,03-03-2020,9
Australia,52.0,11.0,2.0,0.0,03-04-2020,13
Australia,55.0,21.0,2.0,0.0,03-05-2020,3
Australia,60.0,21.0,2.0,0.0,03-06-2020,5
Australia,63.0,21.0,2.0,0.0,03-07-2020,3
Australia,76.0,21.0,4.0,0.0,03-08-2020,13
Australia,91.0,21.0,4.0,0.0,03-09-2020,15
Australia,107.0,21.0,3.0,0.0,03-10-2020,16
Australia,128.0,21.0,3.0,0.0,03-11-2020,21
Australia,128.0,21.0,3.0,0.0,03-12-2020,21
Australia,200.0,23.0,3.0,0.0,03-13-2020,72
Australia,250.0,23.0,3.0,0.0,03-14-2020,50
Australia,297.0,23.0,3.0,0.0,03-15-2020,47
Australia,377.0,23.0,3.0,0.0,03-16-2020,80
Australia,452.0,23.0,5.0,0.0,03-17-2020,75
Australia,568.0,23.0,6.0,0.0,03-18-2020,116
