Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Brazil,0.0,0.0,0.0,0.0,01-22-2020,0
Brazil,0.0,0.0,0.0,0.0,01-23-2020,0
Brazil,0.0,0.0,0.0,0.0,01-24-2020,0
Brazil,0.0,0.0,0.0,0.0,01-25-2020,0
Brazil,0.0,0.0,0.0,0.0,01-26-2020,0
Brazil,0.0,0.0,0.0,0.0,01-27-2020,0
Brazil,0.0,0.0,0.0,0.0,01-28-2020,0
Brazil,0.0,0.0,0.0,0.0,01-29-2020,0
Brazil,0.0,0.0,0.0,0.0,01-30-2020,0
Brazil,0.0,0.0,0.0,0.0,01-31-2020,0
Brazil,0.0,0.0,0.0,0.0,02-01-2020,0
Brazil,0.0,0.0,0.0,0.0,02-02-2020,0
Brazil,0.0,0.0,0.0,0.0,02-03-2020,0
Brazil,0.0,0.0,0.0,0.0,02-04-2020,0
Brazil,0.0,0.0,0.0,0.0,02-05-2020,0
Brazil,0.0,0.0,0.0,0.0,02-06-2020,0
Brazil,0.0,0.0,0.0,0.0,02-07-2020,0
Brazil,0.0,0.0,0.0,0.0,02-08-2020,0
Brazil,0.0,0.0,0.0,0.0,02-09-2020,0
Brazil,0.0,0.0,0.0,0.0,02-10-2020,0
Brazil,0.0,0.0,0.0,0.0,02-11-2020,0
Brazil,0.0,0.0,0.0,0.0,02-12-2020,0
Brazil,0.0,0.0,0.0,0.0,02-13-2020,0
Brazil,0.0,0.0,0.0,0.0,02-14-2020,0
Brazil,0.0,0.0,0.0,0.0,02-15-2020,0
Brazil,0.0,0.0,0.0,0.0,02-16-2020,0
Brazil,0.0,0.0,0.0,0.0,02-17-2020,0
Brazil,0.0,0.0,0.0,0.0,02-18-2020,0
Brazil,0.0,0.0,0.0,0.0,02-19-2020,0
Brazil,0.0,0.0,0.0,0.0,02-20-2020,0
Brazil,0.0,0.0,0.0,0.0,02-21-2020,0
Brazil,0.0,0.0,0.0,0.0,02-22-2020,0
Brazil,0.0,0.0,0.0,0.0,02-23-2020,0
Brazil,0.0,0.0,0.0,0.0,02-24-2020,0
Brazil,0.0,0.0,0.0,0.0,02-25-2020,0
Brazil,1.0,0.0,0.0,0.0,02-26-2020,1
Brazil,1.0,0.0,0.0,0.0,02-27-2020,1
Brazil,1.0,0.0,0.0,0.0,02-28-2020,1
Brazil,2.0,0.0,0.0,0.0,02-29-2020,1
Brazil,2.0,0.0,0.0,0.0,03-01-2020,1
Brazil,2.0,0.0,0.0,0.0,03-02-2020,1
Brazil,2.0,0.0,0.0,0.0,03-03-2020,1
Brazil,4.0,0.0,0.0,0.0,03-04-2020,2
Brazil,4.0,0.0,0.0,0.0,03-05-2020,2
Brazil,13.0,0.0,0.0,0.0,03-06-2020,9
Brazil,13.0,0.0,0.0,0.0,03-07-2020,9
Brazil,20.0,0.0,0.0,0.0,03-08-2020,7
Brazil,25.0,0.0,0.0,0.0,03-09-2020,5
Brazil,31.0,0.0,0.0,0.0,03-10-2020,6
Brazil,38.0,0.0,0.0,0.0,03-11-2020,7
Brazil,52.0,0.0,0.0,0.0,03-12-2020,14
Brazil,151.0,0.0,0.0,0.0,03-13-2020,99
Brazil,151.0,0.0,0.0,0.0,03-14-2020,99
Brazil,162.0,0.0,0.0,0.0,03-15-2020,11
Brazil,200.0,1.0,0.0,0.0,03-16-2020,38
Brazil,321.0,2.0,1.0,0.0,03-17-2020,121
Brazil,372.0,2.0,3.0,0.0,03-18-2020,51
Brazil,621.0,2.0,6.0,0.0,03-19-2020,249
Brazil,793.0,2.0,11.0,0.0,03-20-2020,172
Brazil,1021.0,2.0,15.0,0.0,03-21-2020,228
Brazil,1546.0,2.0,25.0,1519.0,03-22-2020,525
Brazil,1924.0,2.0,34.0,1888.0,03-23-2020,378
Brazil,2247.0,2.0,46.0,2199.0,03-24-2020,323
Brazil,2554.0,2.0,59.0,2493.0,03-25-2020,307
Brazil,2985.0,6.0,77.0,2902.0,03-26-2020,431
Brazil,3417.0,6.0,92.0,3319.0,03-27-2020,432
Brazil,3904.0,6.0,111.0,3787.0,03-28-2020,487
Brazil,4256.0,6.0,136.0,4114.0,03-29-2020,352
Brazil,4579.0,120.0,159.0,4300.0,03-30-2020,323
Brazil,5717.0,127.0,201.0,5389.0,03-31-2020,1138
Brazil,6836.0,127.0,240.0,6469.0,04-01-2020,1119
Brazil,8044.0,127.0,324.0,7593.0,04-02-2020,1208
