Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
China,547.0,28.0,17.0,0.0,01-22-2020,0.0
China,639.0,30.0,18.0,0.0,01-23-2020,92.0
China,916.0,36.0,26.0,0.0,01-24-2020,277.0
China,1399.0,39.0,42.0,0.0,01-25-2020,483.0
China,2062.0,49.0,56.0,0.0,01-26-2020,663.0
China,2863.0,58.0,82.0,0.0,01-27-2020,801.0
China,5494.0,101.0,131.0,0.0,01-28-2020,2631.0
China,6070.0,120.0,133.0,0.0,01-29-2020,576.0
China,8124.0,135.0,171.0,0.0,01-30-2020,2054.0
China,9783.0,214.0,213.0,0.0,01-31-2020,1659.0
China,11871.0,275.0,259.0,0.0,02-01-2020,2088.0
China,16607.0,463.0,361.0,0.0,02-02-2020,4736.0
China,19693.0,614.0,425.0,0.0,02-03-2020,3086.0
China,23680.0,843.0,490.0,0.0,02-04-2020,3987.0
China,27409.0,1115.0,562.0,0.0,02-05-2020,3729.0
China,30553.0,1476.0,632.0,0.0,02-06-2020,3144.0
China,34075.0,1998.0,717.0,0.0,02-07-2020,3522.0
China,36778.0,2595.0,804.0,0.0,02-08-2020,2703.0
China,39790.0,3218.0,904.0,0.0,02-09-2020,3012.0
China,42306.0,3917.0,1011.0,0.0,02-10-2020,2516.0
China,44327.0,4635.0,1111.0,0.0,02-11-2020,2021.0
China,44699.0,5079.0,1116.0,0.0,02-12-2020,372.0
China,59832.0,6213.0,1368.0,0.0,02-13-2020,15133.0
China,66292.0,7973.0,1520.0,0.0,02-14-2020,6460.0
China,68347.0,9294.0,1662.0,0.0,02-15-2020,2055.0
China,70446.0,10748.0,1765.0,0.0,02-16-2020,2099.0
China,72364.0,12455.0,1863.0,0.0,02-17-2020,1918.0
China,74139.0,14199.0,2002.0,0.0,02-18-2020,1775.0
China,74546.0,15952.0,2114.0,0.0,02-19-2020,407.0
China,74999.0,18002.0,2236.0,0.0,02-20-2020,453.0
China,75472.0,18693.0,2236.0,0.0,02-21-2020,473.0
China,76922.0,22687.0,2441.0,0.0,02-22-2020,1450.0
China,76938.0,23170.0,2443.0,0.0,02-23-2020,16.0
China,77152.0,24990.0,2593.0,0.0,02-24-2020,214.0
China,77660.0,27650.0,2663.0,0.0,02-25-2020,508.0
China,78065.0,30053.0,2715.0,0.0,02-26-2020,405.0
China,78498.0,32898.0,2744.0,0.0,02-27-2020,433.0
China,78824.0,36291.0,2788.0,0.0,02-28-2020,326.0
China,79251.0,39279.0,2835.0,0.0,02-29-2020,427.0
China,79826.0,42118.0,2870.0,0.0,03-01-2020,575.0
China,80026.0,44810.0,2912.0,0.0,03-02-2020,200.0
China,80151.0,47404.0,2945.0,0.0,03-03-2020,125.0
China,80271.0,49955.0,2981.0,0.0,03-04-2020,120.0
China,80422.0,52240.0,3013.0,0.0,03-05-2020,151.0
China,80573.0,53888.0,3042.0,0.0,03-06-2020,151.0
China,80652.0,55478.0,3070.0,0.0,03-07-2020,79.0
China,80699.0,57320.0,3097.0,0.0,03-08-2020,47.0
China,80735.0,58735.0,3120.0,0.0,03-09-2020,36.0
China,80757.0,60106.0,3136.0,0.0,03-10-2020,22.0
China,80921.0,61644.0,3161.0,0.0,03-11-2020,164.0
China,80932.0,62901.0,3172.0,0.0,03-12-2020,11.0
China,80945.0,64196.0,3180.0,0.0,03-13-2020,13.0
China,80977.0,65660.0,3193.0,0.0,03-14-2020,32.0
China,81003.0,67017.0,3203.0,0.0,03-15-2020,26.0
China,81033.0,67910.0,3217.0,0.0,03-16-2020,30.0
China,81058.0,68798.0,3230.0,0.0,03-17-2020,25.0
China,81102.0,69755.0,3241.0,0.0,03-18-2020,44.0
China,81156.0,70535.0,3249.0,0.0,03-19-2020,54.0
China,81250.0,71266.0,3253.0,0.0,03-20-2020,94.0
China,81305.0,71857.0,3259.0,0.0,03-21-2020,55.0
China,81397.0,72362.0,3265.0,5770.0,03-22-2020,92.0
China,81496.0,72819.0,3274.0,5403.0,03-23-2020,99.0
China,81591.0,73274.0,3281.0,5036.0,03-24-2020,95.0
China,81661.0,73767.0,3285.0,4609.0,03-25-2020,70.0
China,81782.0,74175.0,3291.0,4316.0,03-26-2020,121.0
China,81897.0,74714.0,3296.0,3887.0,03-27-2020,115.0
China,81999.0,75094.0,3299.0,3606.0,03-28-2020,102.0
China,82122.0,75576.0,3304.0,3242.0,03-29-2020,123.0
China,82198.0,75917.0,3308.0,2973.0,03-30-2020,76.0
China,82279.0,76200.0,3309.0,2770.0,03-31-2020,81.0
China,82361.0,76399.0,3316.0,2646.0,04-01-2020,82.0
China,82432.0,76565.0,3322.0,2545.0,04-02-2020,71.0
China,82511.0,76760.0,3326.0,2425.0,04-03-2020,79.0
China,82543.0,76946.0,3330.0,2267.0,04-04-2020,32.0
China,82602.0,77207.0,3333.0,2062.0,04-05-2020,59.0
China,82665.0,77310.0,3335.0,2020.0,04-06-2020,63.0
China,82718.0,77410.0,3335.0,1973.0,04-07-2020,53.0
China,82809.0,77567.0,3337.0,1905.0,04-08-2020,91.0
China,82883.0,77679.0,3339.0,1865.0,04-09-2020,74.0
China,82941.0,77791.0,3340.0,1810.0,04-10-2020,58.0
China,83014.0,77877.0,3343.0,1794.0,04-11-2020,73.0
China,83134.0,77956.0,3343.0,1835.0,04-12-2020,120.0
China,83213.0,78039.0,3345.0,1829.0,04-13-2020,79.0
China,83306.0,78200.0,3345.0,1761.0,04-14-2020,93.0
China,83356.0,78311.0,3346.0,1699.0,04-15-2020,50.0
China,83403.0,78401.0,3346.0,1656.0,04-16-2020,47.0
China,83760.0,77552.0,4636.0,1572.0,04-17-2020,357.0
China,83787.0,77614.0,4636.0,1537.0,04-18-2020,27.0
China,83805.0,77690.0,4636.0,1479.0,04-19-2020,18.0
China,83817.0,77745.0,4636.0,1436.0,04-20-2020,12.0
China,83853.0,77799.0,4636.0,1418.0,04-21-2020,36.0
China,83868.0,77861.0,4636.0,1371.0,04-22-2020,15.0
China,83884.0,77983.0,4636.0,1265.0,04-23-2020,16.0
China,83899.0,78109.0,4636.0,1154.0,04-24-2020,15.0
China,83909.0,78175.0,4636.0,1098.0,04-25-2020,10.0
China,83912.0,78277.0,4637.0,998.0,04-26-2020,3.0
China,83918.0,78374.0,4637.0,907.0,04-27-2020,6.0
China,83940.0,78422.0,4637.0,881.0,04-28-2020,22.0
China,83944.0,78474.0,4637.0,833.0,04-29-2020,4.0
China,83956.0,78523.0,4637.0,796.0,04-30-2020,12.0
China,83959.0,78573.0,4637.0,749.0,05-01-2020,3.0
China,83959.0,78586.0,4637.0,736.0,05-02-2020,3.0
China,83964.0,78684.0,4637.0,643.0,05-03-2020,5.0
China,83966.0,78792.0,4637.0,537.0,05-04-2020,2.0
China,83968.0,78870.0,4637.0,461.0,05-05-2020,2.0
China,83970.0,78929.0,4637.0,404.0,05-06-2020,2.0
China,83975.0,78977.0,4637.0,361.0,05-07-2020,5.0
China,83976.0,78993.0,4637.0,346.0,05-08-2020,1.0
China,83990.0,79127.0,4637.0,226.0,05-09-2020,14.0
China,84010.0,79167.0,4637.0,206.0,05-10-2020,20.0
China,84011.0,79198.0,4637.0,176.0,05-11-2020,1.0
China,84018.0,79222.0,4637.0,159.0,05-12-2020,7.0
China,84024.0,79246.0,4637.0,141.0,05-13-2020,6.0
China,84029.0,79261.0,4637.0,131.0,05-14-2020,5.0
China,84038.0,79281.0,4637.0,120.0,05-15-2020,9.0
China,84044.0,79293.0,4638.0,113.0,05-16-2020,6.0
China,84054.0,79306.0,4638.0,110.0,05-17-2020,10.0
China,84063.0,79310.0,4638.0,115.0,05-18-2020,9.0
China,84063.0,79310.0,4638.0,115.0,05-19-2020,9.0
China,84063.0,79310.0,4638.0,115.0,05-20-2020,9.0
China,84063.0,79310.0,4638.0,115.0,05-21-2020,9.0
China,84081.0,79332.0,4638.0,111.0,05-22-2020,18.0
China,84084.0,79335.0,4638.0,111.0,05-23-2020,3.0
China,84095.0,79343.0,4638.0,114.0,05-24-2020,11.0
China,84102.0,79352.0,4638.0,112.0,05-25-2020,7.0
China,84103.0,79358.0,4638.0,107.0,05-26-2020,1.0
China,84106.0,79367.0,4638.0,101.0,05-27-2020,3.0
China,84106.0,79371.0,4638.0,97.0,05-28-2020,3.0
China,84123.0,79382.0,4638.0,103.0,05-29-2020,17.0
China,84128.0,79386.0,4638.0,104.0,05-30-2020,5.0
China,84146.0,79389.0,4638.0,119.0,05-31-2020,18.0
China,84154.0,79398.0,4638.0,118.0,06-01-2020,8.0
China,84161.0,79400.0,4638.0,123.0,06-02-2020,7.0
China,84160.0,79404.0,4638.0,118.0,06-03-2020,1.0
China,84171.0,79415.0,4638.0,118.0,06-04-2020,11.0
China,84177.0,79420.0,4638.0,119.0,06-05-2020,6.0
China,84186.0,79424.0,4638.0,124.0,06-06-2020,9.0
China,84191.0,79434.0,4638.0,119.0,06-07-2020,5.0
China,84195.0,79444.0,4638.0,113.0,06-08-2020,4.0
China,84198.0,79451.0,4638.0,109.0,06-09-2020,3.0
China,84209.0,79456.0,4638.0,115.0,06-10-2020,11.0
China,84216.0,79464.0,4638.0,114.0,06-11-2020,7.0
China,84228.0,79472.0,4638.0,118.0,06-12-2020,12.0
China,84286.0,79475.0,4638.0,173.0,06-13-2020,58.0
China,84335.0,79482.0,4638.0,215.0,06-14-2020,49.0
China,84378.0,79489.0,4638.0,251.0,06-15-2020,43.0
China,84422.0,79493.0,4638.0,291.0,06-16-2020,44.0
China,84458.0,79510.0,4638.0,310.0,06-17-2020,36.0
China,84494.0,79515.0,4638.0,341.0,06-18-2020,36.0
China,84494.0,79515.0,4638.0,341.0,06-19-2020,36.0
China,84553.0,79534.0,4639.0,380.0,06-20-2020,59.0
China,84572.0,79535.0,4639.0,398.0,06-21-2020,19.0
China,84624.0,79547.0,4639.0,438.0,06-22-2020,52.0
China,84653.0,79555.0,4640.0,458.0,06-23-2020,29.0
China,84673.0,79562.0,4640.0,471.0,06-24-2020,20.0
China,84701.0,79572.0,4641.0,488.0,06-25-2020,28.0
China,84725.0,79580.0,4641.0,504.0,06-26-2020,24.0
China,84743.0,79591.0,4641.0,511.0,06-27-2020,18.0
China,84757.0,79609.0,4641.0,507.0,06-28-2020,14.0
China,84780.0,79619.0,4641.0,520.0,06-29-2020,23.0
China,84785.0,79632.0,4641.0,512.0,06-30-2020,5.0
China,84816.0,79650.0,4641.0,525.0,07-01-2020,31.0
China,84830.0,79665.0,4641.0,524.0,07-02-2020,14.0
China,84838.0,79680.0,4641.0,517.0,07-03-2020,8.0
China,84857.0,79706.0,4641.0,510.0,07-04-2020,19.0
China,84871.0,79718.0,4641.0,512.0,07-05-2020,14.0
China,84889.0,79725.0,4641.0,523.0,07-06-2020,18.0
China,84917.0,79754.0,4641.0,522.0,07-07-2020,28.0
China,84950.0,79802.0,4641.0,507.0,07-08-2020,33.0
China,84992.0,79802.0,4641.0,549.0,07-09-2020,42.0
China,84992.0,79802.0,4641.0,549.0,07-10-2020,42.0
China,85071.0,79876.0,4641.0,554.0,07-11-2020,79.0
China,85117.0,79907.0,4641.0,569.0,07-12-2020,46.0
China,85117.0,79907.0,4641.0,569.0,07-13-2020,46.0
China,85226.0,79967.0,4642.0,617.0,07-14-2020,109.0
China,85246.0,80005.0,4644.0,597.0,07-15-2020,20.0
China,85314.0,80018.0,4644.0,652.0,07-16-2020,68.0
China,85314.0,80018.0,4644.0,652.0,07-17-2020,68.0
China,85314.0,80018.0,4644.0,652.0,07-18-2020,68.0
China,85314.0,80018.0,4644.0,652.0,07-19-2020,68.0
China,85314.0,80018.0,4644.0,652.0,07-20-2020,68.0
China,85314.0,80018.0,4644.0,652.0,07-21-2020,68.0
China,85906.0,80244.0,4648.0,1014.0,07-22-2020,592.0
China,86045.0,80297.0,4649.0,1099.0,07-23-2020,139.0
China,86202.0,80341.0,4650.0,1211.0,07-24-2020,157.0
China,86381.0,80409.0,4652.0,1320.0,07-25-2020,179.0
China,86570.0,80459.0,4652.0,1459.0,07-26-2020,189.0
China,86783.0,80466.0,4656.0,1661.0,07-27-2020,213.0
China,86990.0,80517.0,4657.0,1816.0,07-28-2020,207.0
China,87213.0,80594.0,4658.0,1961.0,07-29-2020,223.0
China,87489.0,80680.0,4659.0,2150.0,07-30-2020,276.0
China,87655.0,80787.0,4661.0,2207.0,07-31-2020,166.0
China,87827.0,80907.0,4667.0,2253.0,08-01-2020,172.0
China,87985.0,81018.0,4669.0,2298.0,08-02-2020,158.0
China,88099.0,81113.0,4672.0,2314.0,08-03-2020,114.0
China,88206.0,81234.0,4676.0,2296.0,08-04-2020,107.0
China,88328.0,81417.0,4677.0,2234.0,08-05-2020,122.0
China,88460.0,81592.0,4680.0,2188.0,08-06-2020,132.0
China,88580.0,81788.0,4681.0,2111.0,08-07-2020,120.0
China,88672.0,81969.0,4681.0,2022.0,08-08-2020,92.0
China,88793.0,82125.0,4686.0,1982.0,08-09-2020,121.0
China,88906.0,82247.0,4689.0,1970.0,08-10-2020,113.0
China,88958.0,82440.0,4693.0,1825.0,08-11-2020,52.0
China,89045.0,82633.0,4697.0,1715.0,08-12-2020,87.0
China,89144.0,82804.0,4700.0,1640.0,08-13-2020,99.0
China,89214.0,82956.0,4701.0,1557.0,08-14-2020,70.0
China,89279.0,83108.0,4703.0,1468.0,08-15-2020,65.0
China,89375.0,83200.0,4703.0,1472.0,08-16-2020,96.0
China,89441.0,83283.0,4703.0,1455.0,08-17-2020,66.0
China,89494.0,83408.0,4705.0,1381.0,08-18-2020,53.0
China,89527.0,83566.0,4706.0,1255.0,08-19-2020,33.0
China,89567.0,83663.0,4709.0,1195.0,08-20-2020,40.0
China,89616.0,83793.0,4709.0,1114.0,08-21-2020,49.0
China,89654.0,83924.0,4711.0,1019.0,08-22-2020,38.0
China,89695.0,83988.0,4711.0,996.0,08-23-2020,41.0
China,89718.0,84058.0,4711.0,949.0,08-24-2020,23.0
China,89752.0,84168.0,4712.0,872.0,08-25-2020,34.0
China,89784.0,84251.0,4713.0,820.0,08-26-2020,32.0
China,89814.0,84335.0,4715.0,764.0,08-27-2020,30.0
China,89836.0,84419.0,4718.0,699.0,08-28-2020,22.0
China,89863.0,84484.0,4721.0,658.0,08-29-2020,27.0
China,89895.0,84546.0,4722.0,627.0,08-30-2020,32.0
China,89914.0,84594.0,4723.0,597.0,08-31-2020,19.0
China,89933.0,84652.0,4724.0,557.0,09-01-2020,19.0
China,89953.0,84695.0,4727.0,531.0,09-02-2020,20.0
China,89986.0,84737.0,4728.0,521.0,09-03-2020,33.0
China,90008.0,84782.0,4728.0,498.0,09-04-2020,22.0
