Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Egypt,0.0,0.0,0.0,0.0,01-22-2020,0
Egypt,0.0,0.0,0.0,0.0,01-23-2020,0
Egypt,0.0,0.0,0.0,0.0,01-24-2020,0
Egypt,0.0,0.0,0.0,0.0,01-25-2020,0
Egypt,0.0,0.0,0.0,0.0,01-26-2020,0
Egypt,0.0,0.0,0.0,0.0,01-27-2020,0
Egypt,0.0,0.0,0.0,0.0,01-28-2020,0
Egypt,0.0,0.0,0.0,0.0,01-29-2020,0
Egypt,0.0,0.0,0.0,0.0,01-30-2020,0
Egypt,0.0,0.0,0.0,0.0,01-31-2020,0
Egypt,0.0,0.0,0.0,0.0,02-01-2020,0
Egypt,0.0,0.0,0.0,0.0,02-02-2020,0
Egypt,0.0,0.0,0.0,0.0,02-03-2020,0
Egypt,0.0,0.0,0.0,0.0,02-04-2020,0
Egypt,0.0,0.0,0.0,0.0,02-05-2020,0
Egypt,0.0,0.0,0.0,0.0,02-06-2020,0
Egypt,0.0,0.0,0.0,0.0,02-07-2020,0
Egypt,0.0,0.0,0.0,0.0,02-08-2020,0
Egypt,0.0,0.0,0.0,0.0,02-09-2020,0
Egypt,0.0,0.0,0.0,0.0,02-10-2020,0
Egypt,0.0,0.0,0.0,0.0,02-11-2020,0
Egypt,0.0,0.0,0.0,0.0,02-12-2020,0
Egypt,0.0,0.0,0.0,0.0,02-13-2020,0
Egypt,1.0,0.0,0.0,0.0,02-14-2020,1
Egypt,1.0,0.0,0.0,0.0,02-15-2020,1
Egypt,1.0,0.0,0.0,0.0,02-16-2020,1
Egypt,1.0,0.0,0.0,0.0,02-17-2020,1
Egypt,1.0,0.0,0.0,0.0,02-18-2020,1
Egypt,1.0,0.0,0.0,0.0,02-19-2020,1
Egypt,1.0,0.0,0.0,0.0,02-20-2020,1
Egypt,1.0,0.0,0.0,0.0,02-21-2020,1
Egypt,1.0,0.0,0.0,0.0,02-22-2020,1
Egypt,1.0,0.0,0.0,0.0,02-23-2020,1
Egypt,1.0,0.0,0.0,0.0,02-24-2020,1
Egypt,1.0,0.0,0.0,0.0,02-25-2020,1
Egypt,1.0,0.0,0.0,0.0,02-26-2020,1
Egypt,1.0,0.0,0.0,0.0,02-27-2020,1
Egypt,1.0,1.0,0.0,0.0,02-28-2020,1
Egypt,1.0,1.0,0.0,0.0,02-29-2020,1
Egypt,2.0,1.0,0.0,0.0,03-01-2020,1
Egypt,2.0,1.0,0.0,0.0,03-02-2020,1
Egypt,2.0,1.0,0.0,0.0,03-03-2020,1
Egypt,2.0,1.0,0.0,0.0,03-04-2020,1
Egypt,3.0,1.0,0.0,0.0,03-05-2020,1
Egypt,15.0,1.0,0.0,0.0,03-06-2020,12
Egypt,15.0,1.0,0.0,0.0,03-07-2020,12
Egypt,49.0,1.0,1.0,0.0,03-08-2020,34
Egypt,55.0,12.0,1.0,0.0,03-09-2020,6
Egypt,59.0,1.0,1.0,0.0,03-10-2020,4
Egypt,60.0,27.0,1.0,0.0,03-11-2020,1
Egypt,67.0,27.0,1.0,0.0,03-12-2020,7
Egypt,80.0,27.0,2.0,0.0,03-13-2020,13
Egypt,109.0,27.0,2.0,0.0,03-14-2020,29
Egypt,110.0,21.0,2.0,0.0,03-15-2020,1
Egypt,150.0,27.0,2.0,0.0,03-16-2020,40
Egypt,196.0,32.0,4.0,0.0,03-17-2020,46
Egypt,196.0,32.0,6.0,0.0,03-18-2020,46
Egypt,256.0,32.0,6.0,0.0,03-19-2020,60
Egypt,285.0,39.0,8.0,0.0,03-20-2020,29
Egypt,294.0,41.0,10.0,0.0,03-21-2020,9
Egypt,327.0,56.0,14.0,257.0,03-22-2020,33
Egypt,366.0,68.0,19.0,279.0,03-23-2020,39
Egypt,402.0,80.0,20.0,302.0,03-24-2020,36
Egypt,456.0,95.0,21.0,340.0,03-25-2020,54
