Country,Confirmed,Recovered,Deaths,Active,Date,New_infected
Germany,0.0,0.0,0.0,0.0,01-22-2020,0
Germany,0.0,0.0,0.0,0.0,01-23-2020,0
Germany,0.0,0.0,0.0,0.0,01-24-2020,0
Germany,0.0,0.0,0.0,0.0,01-25-2020,0
Germany,0.0,0.0,0.0,0.0,01-26-2020,0
Germany,0.0,0.0,0.0,0.0,01-27-2020,0
Germany,4.0,0.0,0.0,0.0,01-28-2020,4
Germany,4.0,0.0,0.0,0.0,01-29-2020,4
Germany,4.0,0.0,0.0,0.0,01-30-2020,4
Germany,5.0,0.0,0.0,0.0,01-31-2020,1
Germany,8.0,0.0,0.0,0.0,02-01-2020,3
Germany,10.0,0.0,0.0,0.0,02-02-2020,2
Germany,12.0,0.0,0.0,0.0,02-03-2020,2
Germany,12.0,0.0,0.0,0.0,02-04-2020,2
Germany,12.0,0.0,0.0,0.0,02-05-2020,2
Germany,12.0,0.0,0.0,0.0,02-06-2020,2
Germany,13.0,0.0,0.0,0.0,02-07-2020,1
Germany,13.0,0.0,0.0,0.0,02-08-2020,1
Germany,14.0,0.0,0.0,0.0,02-09-2020,1
Germany,14.0,0.0,0.0,0.0,02-10-2020,1
Germany,16.0,0.0,0.0,0.0,02-11-2020,2
Germany,16.0,0.0,0.0,0.0,02-12-2020,2
Germany,16.0,1.0,0.0,0.0,02-13-2020,2
Germany,16.0,1.0,0.0,0.0,02-14-2020,2
Germany,16.0,1.0,0.0,0.0,02-15-2020,2
Germany,16.0,1.0,0.0,0.0,02-16-2020,2
Germany,16.0,1.0,0.0,0.0,02-17-2020,2
Germany,16.0,12.0,0.0,0.0,02-18-2020,2
Germany,16.0,12.0,0.0,0.0,02-19-2020,2
Germany,16.0,12.0,0.0,0.0,02-20-2020,2
Germany,16.0,14.0,0.0,0.0,02-21-2020,2
Germany,16.0,14.0,0.0,0.0,02-22-2020,2
Germany,16.0,14.0,0.0,0.0,02-23-2020,2
Germany,16.0,14.0,0.0,0.0,02-24-2020,2
Germany,17.0,14.0,0.0,0.0,02-25-2020,1
Germany,27.0,15.0,0.0,0.0,02-26-2020,10
Germany,46.0,16.0,0.0,0.0,02-27-2020,19
Germany,48.0,16.0,0.0,0.0,02-28-2020,2
Germany,79.0,16.0,0.0,0.0,02-29-2020,31
Germany,130.0,16.0,0.0,0.0,03-01-2020,51
Germany,159.0,16.0,0.0,0.0,03-02-2020,29
Germany,196.0,16.0,0.0,0.0,03-03-2020,37
Germany,262.0,16.0,0.0,0.0,03-04-2020,66
Germany,482.0,16.0,0.0,0.0,03-05-2020,220
Germany,670.0,17.0,0.0,0.0,03-06-2020,188
Germany,799.0,18.0,0.0,0.0,03-07-2020,129
